0	Professor Lesley Forrester	University of Edinburgh	MRC Centre for Regenerative Medicine	2020-04-22	2023-04-21	Identification and characterisation of the molecular components associated with the human erythroid island niche in normal and abnormal erythropoiesis	The transcription factor KLF1 is essential for the development and maturation of red blood cells (RBCs). A significant number of RBC disorders, including severe cases of anaemia, have been associated with KLF1 mutations. Research to date has focused on the intrinsic role of KFL1 in RBCs but KLF1 is also expressed and plays an extrinsic role in macrophages associated with the erythroid island (EI) niche. We developed a novel in vitro model of the human EI niche using induced pluripotent stem cell derived macrophages and have generated a database of EI-associated KLF1 target genes that encode factors that can promote RBC maturation. We now plan to test secreted and membrane-associated EI factors for their ability to enhance the maturation of RBCs using recombinant proteins and synthetic biotinylated peptides captured in on streptavidin-coated plates. Patients heterozygous for the dominant negative KLF1-E325K mutation present with circulating nucleated cells and a profound anaemia. To determine how KLF1 deficiency in the EI niche contributes to their pathology we will differentiate macrophages from iPSCs carrying a tamoxifen inducible iE325K-ERT2 and iPSCs derived from CDA patients. We will test their ability to support the proliferation and maturation of RBCs and identify factors that are aberrantly expressed within the genetically defective niche using RNA sequencing, comparative proteomics and chromatin immunoprecipitation. Chimeric co-cultures will be used to define the intrinsic and extrinsic effects of the E325K mutation and we will define the erythroid- and macrophage-specific targets of KLF1-E325K. Knock-in and knock-out iPSCs will be generated using CRISPR/CAS9 technology to validate the function of these targets. The characterisation of factors associated with the EI niche will impact on the treatment of anaemia, by identifying novel drug targets and designing optimised protocols for the production of therapeutic RBCs from limitless sources such as iPSCs.	Medical Research Council	Research Grant	709988.0	GBP
1	Professor Malcolm Dunlop	University of Edinburgh	None	2016-01-01	2020-12-31	Integrative genomics in colorectal cancer susceptibility: developing risk reducing interventions through understanding biology	Background Cancer of the large bowel (colorectyal cancer - CRC) is one of the most common cancers (45,000 cases annually) and results in the death of over 40% of those who develop the disease. We maintain that the disease is largely preventable. The proposed research programme aims to reduce incidence and death from this common cancer killer. Aims 1. Elucidate the genetic architecture of CRC risk and gene-environment interactions 2. Define the molecular perturbations responsible for CRC risk 3. Use such new understanding to develop interventions to reduce CRC risk and mortality. Methods We will continue to build the wealth of patient sample resources that we have assembled linked with clinical, pathological, demographic and survival outcome data. Informed by GWAS/EXOME genotyping data, we will perform "Next-Generation" sequencing (exome/whole genome) in genetically enriched patient groups. We will use whole genome sequencing to identify regulatory elements correlated with CRC risk and elucidate their functional roles by linking expression data from colorectal epithelium in CRC patients and cancer-free subjects. A prioritised gene shortlist will be interrogated using genome editing (CRISPR) approaches to explore pathogenicity and functional consequences in mice predisposed to CRC. We also aim to develop new approaches involving CRISPR targeting of genes in cultured organoids derived from patient colorectal mucosa samples with the ultimate aim of correcting deleterious genetic variants associated with CRC risk. We will investigate vitamin D as a modifiable risk factor, and potential chemopreventative agent, interacting with genotype at CRC risk loci. Genomewide GxE analysis will be conducted, integrating WGS data for regulatory elements (VDREs) with normal/tumour expression (RNAseq). In vitro studies of human colonic organoids and cell lines treated with vitamin D will complement clinical intervention studies. We will biopsy rectal mucosa in human subjects treated with vitamin D, using various functional readouts. How the results of this research will be used Our aim is to identify genes predisposing to CRC and intervene to reduce the risk imparted by genetic variation at those gene loci. We also aim to develop vitamin D prevention studies stratified by genotype. We will also further extend our published findings of GxE effects on CRC survival outcome due to interaction of vitamin D level and SNP genotypes. This highly translational programme has implications for interventions in CRC prevention, survival and risk stratification in population screening programmes.	Cancer Research UK	SC - Renewing Programme Award	None	None
2	Professor Johann de Bono	Institute of Cancer Research	None	2018-10-01	2021-09-30	Identifying and validating actionable targets to block androgen receptor splicing.	BACKGROUND: Many prostate cancers remain invariably lethal, driven by continued AR signalling through constitutively active splice variants (AR-SVs) that cause endocrine therapy resistance and radioresistance due to increased non-homologous end joining DNA repair of double strand breaks. Targeting AR-SV is challenging due to the intrinsically disordered structure of the N-terminal domain. Alternative AR-SV targeting strategies are urgently needed. HYPOTHESIS: We hypothesize that targeting key spliceosome components will block AR-SV generation to reverse endocrine treatment and radiation resistance. PRELIMINARY DATA: AR-SV expression is critical to castration resistant prostate cancer (CRPC) development and progression. BET inhibitors targeting BRD2, 3, 4, and siRNA to these proteins, block AR-SV generation despite continued expression of AR-FL, downregulating AR-SV mRNA and RNA splicing factors, including JMJD6, crucial to AR-SV generation. In parallel, orthogonal studies utilizing a targeted siRNA screen of known spliceosome components, confirmed that JMJD6 downregulation blocks AR-SV generation. Furthermore, our preliminary data indicate that JMJD6 is: A) Druggable in computer-assisted models; B) Upregulated in CRPC biopsies; and C) Associates with AR-driven transcripts in CRPC transcriptomes. AIMS: We will: A) Validate JMJD6 findings and evaluate if there are other spliceosome proteins critical to AR-SV generation; B) Confirm identified hits by targeted overexpression studies, generation of stable CRISPR knockouts and the study of patient derived xenografts (PDXs) before and after castration, and re-exposure to dihydrotestosterone after castration; C) Investigate the functional role of identified hits, including JMJD6, and elucidate hit druggability using the canSAR chemo-informatics database and through site directed mutagenesis studies of druggable target pockets, also determining through RNAseq studies their wider impact on transcription and splicing. IMPLICATIONS: We will identify druggable spliceosome proteins key to AR splicing for high throughput chemical screens to identify lead compounds for drug discovery efforts that can ultimately improve outcome from lethal mCRPC.	Prostate Cancer UK	Project Grant	516492.0	GBP
3	Dr Steph Kermorgant	Queen Mary University of London	Barts Cancer Institute	2018-03-26	2021-03-25	Unravelling c-Met signalling from autophagic endomembranes	The receptor tyrosine kinase c-Met, implicated in cancer and chronic inflammation, signals on endosomes, enhancing cell migration, growth and malignant transformation. We have discovered that c-Met traffics and signals from autophagic related endomembranes, ARE, leading to enhanced cell viability in anchorage independent conditions. We hypothesize that autophagy, considered conduit for degradation only, also has a signalling role, which may be targeted in diseases such as cancer. Moreover, this signalling occurs on novel non-canonical autophagy endomembranes, poorly characterized. We aim to understand the signalling of c-Met on non-canonical autophagy endomembranes. Using state-of-the-art cell biology and microscopy, we will characterise the ARE and the role of non-canonical autophagy on c-Met trafficking and signalling. Using a recently described approach of proximal proteomic mapping in live cells by engineered ascorbic peroxidase, APEX, we will determine the molecular partners of c-Met trafficking and signalling on ARE. We will assess the physiological and pathological relevance of c-Met signalling on ARE. This project will be performed using panels of normal and cancer cell lines modified by CRISPR technology, with impaired canonical or impaired non-canonical autophagy. Shedding light and further the understanding of a totally novel function of autophagy (signalling) will have major impacts in cell biology. Moreover, a new physiological role of a recently discovered non-canonical autophagy pathway will be uncovered. This project could lead to the development of strategies to reduce or enhance c-Met signalling and more generally of other receptors. The relevance of our results will be applied to cancer in the view of finding new targets. Our results will have larger implications as autophagy and RTK signalling both play major roles in numerous physiological and pathological processes.	Medical Research Council	Research Grant	408837.0	GBP
4	Professor Shaun Cowley	University of Leicester	None	2018-01-01	2022-01-01	A multi-user FACS facility at the University of Leicester	We request funds to purchase a BD FACSAria Fusion cell sorter enclosed within a Class-II microbiological safety cabinet (MSC) to establish a multi user cell sorting facility. The FACSAria Fusion is a highly flexible and advanced flow cell based flow cytometer that can perform multi-parameter four-way sorting. The Aria flow cell-based detection method provides greater fluorescence sensitivity than alternative stream-in air based cell sorters, which is critical for many of the proposed studies. We have requested funds for a four laser (blue/red/violet/yellow-green) 18-parameter instrument to enable high dimension analysis of the cells during sorting. The violet laser will enable use of highly sensitive brilliant violet fluorochromes and the yellow-green laser will allow greater use of multiple fluorescent proteins. The instrument can also perform single cell index sorting into 384-well plates, which will enable our research teams to undertake single cell transcriptomics projects and sort CRISPR/Cas9-mediated gene edited cells. The instrument is fully integrated into the biosafety cabinet enabling work to be undertaken with primary patient samples and hazard group 2 pathogens. Maintenance, assisting new users and staff training are essential for such a complex instrument, we have therefore requested funding for an experienced grade 7 manager for a 4-year period.	Wellcome Trust	Multi-User Equipment Grant	290555.0	GBP
5	Professor Keith Leppard	University of Warwick	School of Life Sciences	2017-07-24	2021-01-31	Defining and exploiting the role of PML protein in innate immune responses to pathogens	This project will define and elucidate the role of PML-II protein in the transcription of genes induced during interferon (IFN) and inflammatory responses, determine whether this role represents a source of natural variation in these responses and whether it can be targeted to tune their potency. We will use the newly emergent CRISPR/Cas9 approach to generate isogenic cells that are either capable or incapable of expressing PML-II. These cells will be compared, using state-of-the-art RNAseq to analyse mRNA populations following treatment with IFN inducers or IFN itself. Similarly, we will use ChIP-seq to analyse the binding of key transcription factors (TFs) to chromatin that follows the application of these inducers, with or without PML-II. Thirdly, we will use stable isotope labelling (SILAC)-based quantitative proteomics to determine which proteins interact with the unique C-terminal domain of PML-II, which we have shown previously to be necessary for its function in transcription and for its association with specific TFs and co-activators. We will then correlate these data sets using powerful systems analysis tools to determine which TFs mediate PML-II-dependent responses. Natural variants of PML-II will be cloned by standard techniques and their ability to support robust innate immune response gene activation assessed by RT-qPCR analysis of mRNA from transfected cell cultures subjected to innate immune stimulation, an established assay of PML-II function. Variation in PML isoform expression and assembly in the cell will also be induced by short and long-term mild heat stress and the effects on the ability of cells to support virus infection and to mount innate immune responses assessed using immunofluorescence, RT-qPCR, western blotting and cytokine ELISA. Finally, short segments of PML-II will be generated by cDNA cloning and expression, and tested as potential inhibitors of the innate response, measured at the mRNA level using RT-qPCR.	Medical Research Council	Research Grant	430563.0	GBP
6	Professor Anthony Day	University of Manchester	None	2020-01-01	2023-12-31	Understanding an endogenous mechanism that protects against osteoarthritis; towards a new paradigm for disease management	Osteoarthritis (OA) affects 1 in 3 adults aged 45+ in the UK and is becoming more prevalent in association with an ageing and obese population. Joint replacement is currently the only effective treatment for the pain and disability associated with end-stage OA. Patients and clinicians have identified an urgent need for disease-modifying OA drugs (DMOAD) to slow or halt joint degeneration, thereby relieving symptoms and delaying the requirement for surgery. Our understanding of disease-associated mechanisms in OA is growing, but we still don't know why many individuals do not develop symptomatic OA. Identification of intrinsic mechanisms that limit the onset and progression of OA will be key to the development of personalised treatment approaches. Our previous work identified that the TSG-6 protein has protective and anti-inflammatory effects in joint tissues and we are developing a TSG-6-based biological (Link_TSG6) as a DMOAD. We have shown that Link_TSG6 treatment inhibits cartilage damage and pain in a rodent model of OA and also supresses degradation of cultured cartilage explants from OA patients. The focus of this proposal is to establish the molecular pathways through which TSG-6, produced locally in articular joints, contributes to the intrinsic protective processes from the point where disease onset is triggered (e.g. by injury) through to established OA. The aims of this study are: (i) to use knee tissues from patients undergoing joint replacement surgery, in conjunction with RNAScope (a new technology to quantify gene expression), to determine how TSG-6 expression affects disease-associated pathways in chondrocytes and synovial cells in established OA (ii) to determine how Link_TSG6 treatment influences the molecular phenotypes of chondrocytes; (iii) to use mass spectrometry methods to identify synovial fluid biomarkers predictive of responsiveness to Link_TSG6 treatment; (iii) to generate conditional knockout mice and use these to determine how TSG-6 expression in the joint tissues affects the development of surgically-induced OA at molecular and histological levels; (iv) to use a combination of biochemical and biophysical methods, along with CRISPR-Cas9 mediated gene editing in chondrocytes derived from human pluripotent stem cells, to determine how the recently-identified interaction of TSG-6 with inflammatory cytokines contributes to its protective effects in cartilage. The intended outcomes of this research project will have a major impact on the personalised management and treatment of OA by: (i) identifying intrinsic protective mechanisms where variation between individuals might explain differences in the onset and progression of OA; and (ii) providing novel insights to support the development (and commercial uptake) of Link_TSG6 as a DMOAD with the potential to meet the needs of OA patients by relieving symptoms and delaying the need for joint replacement. Our ex vivo studies to date indicate that ~50% of patients are likely to be responsive to treatment with Link_TSG6, suggesting that individuals can be stratified into ‘responders’ and ‘non-responders’. Characterisation of the differences between chondrocytes from these subgroups has the potential to further our understanding of the OA disease process and enable new opportunities for diagnosis and treatment, including personalised medicine approaches.	Versus Arthritis	Full Application Disease	1226186.0	GBP
7	Professor Malcolm Dunlop	University of Edinburgh	None	2018-04-01	2023-03-31	Genetic approaches to combating colorectal cancer	Cancer of the large bowel, or colorectal cancer (CRC), is a common and frequently fatal disease of multifactorial aetiology, affecting 43,000 people in the UK annually and causing ~16,000 deaths, with ~600,000 annual deaths worldwide. Genetic variation and environmental factors contribute to CRC causation. With increasing exposure to environmental risk factors, developing countries are experiencing dramatic increases in CRC incidence. Our research focuses on understanding the complex interplay of genes and environment on CRC susceptibility. Elucidating disease mechanisms not only provides novel insight into cancer causation, but also enables earlier detection and prevention. We employ a range of large-platform approaches to define genetic, and functional genomic, architectures of CRC risk. We establish the role of genetic risk factors through large, well-powered, genome-wide association (GWAS) studies and exome/whole-genome sequencing, then model systems to confirm, and then understand, the molecular genetic mechanisms underlying these genetic associations. Using RNAseq, ATACseq, Capture-C and ChIPseq analysis of normal and tumour human tissues, we explore the molecular and functional consequences of common genetic variation, enabled by our unique patient access, linked with well-curated clinical, pathology and survival data. In case-control and trio studies of extreme early onset CRC, we employ NextGen sequencing to search for rare high penetrance mutations in novel cancer susceptibility genes. Through epidemiological studies and mendelian randomisation, we are exploring the role of environmental risk factors and how these interplay with causal genetic risk factors. Importantly these provide insight to modifiable risk factors that interact with genetic main effects, hence can be considered as “precision-prevention” approaches. Having refined description of genetic and environmental factors in large correlative studies, we are exploiting genome editing approaches (CRISPR) in cultured human and mouse intestinal and tumour organoids to explore the effects of perturbing putative causal pathways. Organoids provide a representative experimental human tissue model, allowing us to explore downstream functional and phenotypic consequences of manipulating genetic sequences - including deletion of putative causal gene(s) and genome editing to replace precise genomic control regions responsible for cancer risk. Using organoid technology, we are beginning to explore effects of multiple common genetic variants, as well as combinations of known key CRC drivers, such as upregulation of wnt signalling. Finally, we are using genome editing approaches to model human common genetic variation in mouse, thereby enabling us to extrapolate to whole-organism environments that are not feasible in humans. With a strong clinical translational emphasis, a key aspect of the Programme is our ability to modify genetic and environmental risk through intervention. Already, modification of genetic risk factors by vitamin D in human organoids and in human subjects treated with vitamin D are showing encouraging beneficial effects on gene expression and phenotypic changes using intestinal organoids. With a unique blend of discovery science, exploring mechanisms, disease models and ability to translate laboratories findings to clinical settings, we are extremely well-placed to make beneficial impact in human health in the field of a common cancer killer.	Medical Research Council	Unit	662000.0	GBP
8	Professor Stephen Brown	MRC Mammalian Genetics Unit	None	1997-10-01	2100-12-31	Disease Model Discovery	The aim of the Disease Model Discovery programme is to generate novel mouse models of disease providing a key resource for the elucidation and characterisation of new genes and pathways involved with diverse disease systems. The programme delivers a critical underpinning to our intramural research programmes at MRC Harwell, as well as furnishing a wider platform for gene and pathway discovery for the biomedical sciences community within the UK and abroad. Currently, large-scale mutagenesis and phenotyping platforms at MRC Harwell focus on the International Mouse Phenotyping Consortium (IMPC) pipeline for the generation and identification of mouse models. The IMPC mutagenesis and phenotyping pipeline is a key ongoing programme for the discovery of novel genes associated with both early-onset and late-onset disease phenotypes. However, there is an increasing focus on the delivery of late-onset phenotypes. Diseases associated with ageing pose an increasing social and financial burden on society and represent a vital imperative for research in the biomedical sciences. There have been considerable advances, for example through GWAS studies, in identifying putative loci and pathways involved in diseases of ageing. Nevertheless, our knowledge of the genes and pathways involved with late-onset disease is neither comprehensive nor complete. As part of MRC funding to Programme 1 over the next five years we plan to introduce over 100 genes into the IMPC pipeline encompassing both early-onset and late-onset phenotyping platforms. This effort will be supplemented by additional funding from the NIH which will enable us to feed a further ~200 genes into the IMPC pipeline for the determination of both early and late-onset phenotypes. Proposals for genes to enter late-onset phenotyping will be sought via the regular calls to the UK community for gene nominations as part of the wider IMPC effort at MRC Harwell. In line with the wider IMPC programme, all data is freely available and deposited in the IMPC database – see www.mousephenotype.org. For the future the bulk of null mutations that enter the IMPC pipeline will be generated by CRISPR/Cas9. In addition, with funding from Strategy Board, the MRC has established the new GEMM (Genome Editing Mice for Medicine) programme at MRC Harwell, utilising the CRISPR/Cas9 route to introduce additional types of alleles, such as point mutations, enabling for example investigators to introduce and analyse human point mutations. This programme underpins the high demand across the human and clinical genetics communities for access to models of rare and Mendelian disorders. Moreover, it is an important pillar in the Genomics England and Precision Medicine Initiative in the US. MRC Harwell has established a collaboration with Genomics England and it is expected that many of the mutants generated in the GEMM programme will be pivotal in the validation and analysis of loci identified through the 100,000 genomes project. In summary, Programme 1 at MGU Harwell is at the forefront of delivering mutants, disease models and data that are a critical pillar for functional genomics studies across the biomedical sciences spectrum and provide key resources for understanding the genetic bases for disease and an important tool for the development of novel therapeutic strategies.	Medical Research Council	Unit	None	None
9	Professor David Ray	The University of Manchester	Medical and Human Sciences	2017-10-16	2018-07-31	Inflammatory therapeutics and the role of the circadian clock	Chronic, unresolving inflammation plays a major role in human disease, yet remains a therapeutic challenge. Key problems are lack of drug efficacy, and the significant metabolic disturbance that accompanies both the chronic disease state (notably accelerated cardiovascular risk) and long-term anti-inflammatory treatment. We have recently discovered that inflammation leads to reprogramming of the circadian clock. The mechanism involves destabilisation of the clock mechanism, as well as disturbance of the intricate cross-talk between components of the circadian clock (e.g. CRY, REVERB) and the glucocorticoid receptor. Reprogramming of the clock is likely an important feature of the inflammatory response at sites of inflammation, to loosen circadian control of inflammatory and metabolic pathways; however, progression to a systemic level can drive profound disturbance. To decipher how cellular clock dynamics and the clock:GR interface are altered by inflammation, we will use systems microscopy approaches (e.g. FCS, FCCS), functional imaging and RNA-SEQ on cell and tissue slice models. We will define molecular mechanisms and functional consequences of inflammatory reprogramming of the clock within foci of inflammation (lung and joint). To achieve this we will use novel in vivo imaging, with time series RNA-SEQ and metabolomics. This generates highly dimensional data, to which computational analyses can be used to build predictive causation models. We will extend these studies to investigate how localised sites of inflammation can disrupt the liver metabolic/circadian processes. These studies will identify pathways of destructive or emergent rhythms, which will be tested pharmacologically or genetically (using AAV delivery of CRISPR/Cas9). Finally, we will investigate how basal and disease-induced rhythmicity can be capitalised on for timed delivery of anti-inflammatory drugs, with the goal of optimizing therapeutic index.	Medical Research Council	Research Grant	2017153.0	GBP
