0	Prof Dame Caroline Dean	John Innes Centre	None	None	None	Role of the RNA silencing machinery in the regulation of FLC.	The role of the RNA silencing machinery in RNA-mediated transcriptional repression of repeated sequence DNA and transposons is beginning to be understood but its importance for regulation of single copy endogenous genes has yet to be explored. For a number of years, we have been analysing the different pathways that control expression of FLC, a floral repressor that regulates the key developmental switch to flowering in Arabidopsis. We have recently found that FLC is mis-regulated in mutants defective in RNA silencing. We will determine which RNA silencing components regulate FLC in different tissues and at different stages of development and undertake a genetic analysis to investigate if the RNA silencing activities are integrated with other pathways regulating FLC, focusing on the autonomous promotion pathway. We have detected small RNAs homologous to the 5' and 3' regions of FLC and antisense transcripts differing in abundance in different tissues have been found in whole genome array analyses. We will characterize these small RNAs and antisense transcripts further and investigate their production in different RNA silencing and autonomous pathway mutants. We will also investigate whether the RNA silencing machinery functions downstream of two of the components of the autonomous promotion pathway FCA and FY, identify other components required for their repression of FLC and investigate the role of FCA and FY and the RNA silencing components in FLC chromatin regulation. This will test the model that FCA/FY through changes in the processing of FLC nascent transcript, initiate a series of events involving small RNA production, RNA-guided recruitment of chromatin complexes, modification of the histones at FLC and transcriptional repression.	Biotechnology and Biological Sciences Research Council	grant	338397.0	GBP
1	Mark Dickman	University of Sheffield	None	None	None	Exploring the roles of arginine methylation and deimination of the multifunctional nuclear proteins PSF and p54nrb	Arginine methylation is now emerging as a mainstream post translational modification of proteins, similar to protein phosphorylation. It has recently been shown that the methylation of arginines on histones can be antagonised enzymatically via deimination of arginine to citrulline, and it is therefore dynamic in nature. This offers exciting prospects that arginine methylation, as a eukaryotic post translational modification, may mirror phosphorylation in its level of complexity. Many RNA binding proteins undergo arginine methylation as a post translational modification. The methylation of arginine residues is thought to structurally alter the protein and therefore perturb protein- protein or protein nucleic interactions. We have recently used novel enrichment procedures to purify the multi protein nuclear complex from Hela nuclear cell extracts in which PSF (polypyrimidine tract-binding protein associated splicing factor) is bound to p54nrb/NonO (Non-POU-domain-containing, octamer-binding protein) and identified sites of arginine methylation in the protein PSF. It is proposed to characterise the sites of arginine methylation and citrullination of the multi-functional nuclear proteins PSF and p54nrb and further explore the roles of such modifications. It is proposed to overexpress, in E.coli, the human PSF and p54nrb proteins. Following overexpression and purification of the PSF and p54nrb proteins it is proposed to analyse the sites of arginine methylation and citrullination, following incubation of the proteins with arginine methyltrasnferases and pepidyl arginine deiminases in vitro. Mass spectrometry will be used to identify the sites of the modifications. In addition the sites of arginine methylation and citrullination will be analysed in vivo. The PSF-p54nrb complex will be enriched from Hela nuclear cell extracts using novel open tube capillaries and the sites of such modifications will be analysed using mass spectrometry. To aid the identifications of the sites of such modifications using mass spectrometry, it is proposed to develop a variety of approaches including the use of stable isotopes including 13C SAM and H218O for the in vitro reactions and 13CD3 methionine for labeling and quantitation of the sites of methylation in vivo. In an approach to study the roles of the post translational modifications of PSF and p54nrb it is proposed to analyse the kinetics of the interactions of both the modified and unmodified proteins with both protein and nucleic acid substrates using surface plasmon resonance. In addition it is proposed to use proteomic approaches to identify novel interacting partners of PSF and p54nrb, moreover study the effects of arginine methylation and deimination on the interacting proteins associated with PSF and p54nrb.	Biotechnology and Biological Sciences Research Council	grant	201755.0	GBP
2	Professor Anne Ferguson-Smith	University of Cambridge	None	None	None	Mammalian microRNAs, retrotransposons and genomic imprinting	MicroRNAs are an abundant class of RNA that are 20-25 nucleotides long, interact with target mRNAs and trigger either translational repression, RNA cleavage, or epigenetic modification. We recently identified the first two animal microRNAs with 100 per cent complementarity to an endogenous murine gene. This putative target mRNA is a retrotransposon- like gene (Rtl1) that is subject to genomic imprinting and located within a 1 Mb imprinted domain on distal mouse chromosome 12. Here we propose to determine the potential link between endogenous miRNAs, retrotransposon silencing and genomic imprinting by characterising the functional link between the miRNAs and Rtl1, and determining potential epigenetic consequences of such an interaction.	Biotechnology and Biological Sciences Research Council	grant	301758.0	GBP
3	Dr Peter Fraser	Babraham Institute	Developmental Genetics and Imprinting	2004-10-01	2009-09-30	Structural and functional nuclear organization of the beta-globin gene locus in vivo.	The proposed experiments will investigate the higher-order structure (chromosome folding) and functional nuclear organization (placement in the nucleus) of genes during transcriptional activity and inactivity. We have found that widely separated genes on the same chromosome often co-localize when they are transcriptionally active, at frequencies much higher than would be expected by random association. Taken together with published reports, which show high chromatin mobility, individual genes adopting distinct nuclear localizations in association with transcriptional activity and nuclear sub-compartments rich in transcriptional apparatus, these data suggest that gene activity is controlled in part by nuclear organization. We have shown that the beta-globin genes and the distal beta-globin locus control region physically associate in vivo during the process of transcription. This higher-order structure appears to be dependent on modifications to the histone tails of chromatin in sub-domains encompassing the developmentally specific genes. These modifications in turn are dependent on intergenic transcription through the subdomain region suggesting that the process of transcription or the presence of the non-coding RNA targets remodelling and histone modification factors to the sub-domains. However another non-exclusive hypothesis is that intergenic transcription itself is involved in the assembly of higher-order structures by acting as a molecular motor to pull distal regions into functional complexes. We will investigate these models and attempt to determine a hierarchy of events that take place in the normal control of gene expression. We will use state-of-the-art techniques such as RNA TRAP, 3C, and 3D confocal RNA and DNA FISH to assess higher-order chromatin structures as well as coordinate nuclear organization of genes as far apart as 40 Mb. In addition we will develop a high-throughput assay to rapidly build up information about the functional organization of the nucleus from numerous genomic perspectives. This information is vital to understanding normal gene function as well as in cases were genes are deregulated as in cancer.	Medical Research Council	Fellowship	1050561.0	GBP
4	Prof Jürg Bähler	University College London	None	2006-02-01	2011-09-30	Genome-wide gene expression programs related to cell proliferation and growth in fission yeast: An integrated approach from transcription to translation	Cellular characteristics result from dynamic interplays between DNA/RNA and the regulatory apparatus. Gene expression is regulated at multiple levels, with transcription having received most attention. However, additional layers of regulation, including RNA turnover and translation, may rival the sophistication and importance of transcriptional control. Mistakes at any regulatory step can lead to uncontrolled cell proliferation, contributing to the complexity of cancer. Integration of data covering different aspects of gene expression related to the cell cycle, acquired under controlled conditions in a model organism, will help to fully understand gene expression programs, including the complex re-programming accompanying carcinogenesis. We pursue an integrated functional-genomic approach to analyse gene expression control throughout the fission yeast cell cycle. We plan: 1) functional studies of cell cycle-regulated transcription, addressing the roles, binding sites, and complex formation of transcription factors; 2) genome-wide mapping of histone-modification patterns; 3) global analyses of posttranscriptional regulation, measuring RNA decay and translational control, and identifying targets of RNA-binding proteins; 4) cell-cycle interference using genetic and external perturbations to reveal the plasticity of regulatory mechanisms; and 5) integration of data sets from several regulatory levels (chromatin to translation) to acquire a system-wide understanding of coordinated strategies for gene expression and cell-cycle control.	Cancer Research UK	Programme Award	None	None
5	Dr Bycroft	Mrc Centre For Protein Engineering	None	2000-04-01	2010-09-30	Protein Structure and Function	Cells regulate the amount of a given protein in response to many different stimuli. Two processes govern this gene expression and protein turnover. One of the main aims of this research program is to gain a detailed molecular understanding of these processes. In the field of gene expression we are focusing on two areas in particular. Firstly we are interested how posttranslational modification modulates transcription. The modification of histones plays a key role in chromatin structure and function. We are studying protein modules that recognise methylated amino acids in the tails of histones and direct the assembly of large multiprotein complexes that regulate transcription. The importance of this field is highlighted by the fact that several of the proteins involved are mutated in development disorders and cancer. Chromatin structure can also be modulated by the incorporation of variant histones. We have been studying a protein module present in macroH2A, a variant histone enriched in inactive X chromosomes. We are also studying protein modules that bind to the carboxyl-terminal domain of the largest subunit of RNA polymerase. This domain is phosphorylated during the elongation phase of transcription. This acts as a marker for the binding of proteins involved in RNA modification, enabling the coordination of transcription and RNA processing. The second area we are interested in is dsRNA. The past five years have seen dsRNA emerge as a key regulator of gene expression. We are investigating how proteins recognise dsRNA and how dsRNA binding proteins influence mRNA stability, translation and transcription. We are also examining the mechanisms that control the ubiquitin-proteasome pathway, the main system that regulates protein turnover. We are studying the assembly and function of a variety of E3 ligases, the enzymes that attach ubiquitin to proteins. One of these ligases is mutated in kidney cancers and another is encoded by the virus that causes Kaposis sarcoma. We are also studying a family of proteins that can remove ubiquitin from proteins. Finally, we are also interested in the relationship between protein quality control and the ubiquitin-proteasome system. We are also engaged in a number of programs, in collaboration with clinical research groups, in which structural and biophysical methods are used to elucidate the molecular basis of disease. We have, for example, been working on autosomal dominant polycystic kidney disease one of the most common genetic disorders.	Medical Research Council	Unit	None	None
6	Prof Wolf Reik	Babraham Institute	None	None	2010-09-30	In vivo analysis of higher order chromatin structure in an imprinting cluster	Imprinted genes have key roles in mammalian development, particularly in regulating fetal and placental growth and placental function. A number of genes in the mouse are imprinted, resulting in only one copy being active, either the paternal or the maternal one. Many of these imprinted genes are located clustered together in specific region of the chromosome . We are interested in understanding how these genes clusters are regulated, and particularly, the role of chromatin modification and RNA. We are also interested in testing the hypothesis that `looping of gene clusters brings distant DNA elements together and regulates gene expression.	Biotechnology and Biological Sciences Research Council	Institute CSG	142595.0	GBP
7	Dr John Highley	University of Sheffield	Medicine and Biomedical Science	2009-01-31	2012-07-30	TDP-43 and alternative splicing in motor neurone disease	This project will investigate alternative RNA splicing of gene transcripts in motor neurone disease (MND). Recent studies have demonstrated that MND is characterized by the translocation of the protein TDP-43 from the nucleus, associated with ubiquitylation and accumulated in cytoplasmic inclusions. The hypothesis that loss of normal nuclear activity of TDP-43 is important in the pathogenesis of MND will be investigated. TDP-43 is known to bind (UG)n repeat sequences in the cystic fibrosis transmembrane conductance receptor (CTFR) gene resulting in skipping of exon 9 through alternative RNA splicing as part of the regulation of gene function. CTFR is expressed in human lower motor neurones (LMN). UG(n) sequences are also present in other genes expressed in spinal cord including those for the human cardiac Na+/Ca++ exchanger 1 (NCX1) and molecules potentially implicated in MND: AMPA glutamate receptor subunit GluR2; brain derived neurotrophic factor. I will use these genes as candidates to explore the hypothesis that reduced nuclear TDP-43 results in altered RNA splicing causing exon skipping. To do this, immunolabelled neurones with and without nuclear TDP-43 expression will be isolated by laser capture microdissection. Two-step linear amplification of RNA followed by quantitative PCR will be used to compare the proportion of spliced and unspliced transcripts. In addition, a TDP-43 knockdown model will be generated in the NSC34 cell line using a lentiviral vector. RNA splicing will be compared with NSC34 cells with normal TDP-43 expression. Positive findings from this component of the study will determine whether a change in subcellular TDP-43 localisation has demonstrable functional consequences. Whether this has pathogenic significance depends on which genes are affected. Whilst three genes are included with possible implications for MND, a wider survey of aberrant splicing would also be informative. In the second phase I will use Affymetrix GeneChips to investigate gene expression and splicing across the genome using the same comparison of neurones and cell lines with normal and abnormal nuclear TDP-43. This second component will generate additional molecular candidates of potential importance in MND. There is evidence that TDP-43 is less important in SOD1-related familial MND. The host laboratory has autopsy material from SOD1 patients, and transfected cell lines, which will allow me to include this material as an additional comparison group in both phases. The project will enable me to acquire first hand knowledge of these modern techniques for investigating human nervous system disease with applicability across the neurodegenerative disorders.	Medical Research Council	Fellowship	445351.0	GBP
8	Prof Dame Caroline Dean	John Innes Centre	None	None	2012-07-30	Molecular analysis of the mechanisms linking co-transcriptional RNA processing with chromatin silencing	The project will exploit our recent work demonstrating that FCA, an Arabidopsis protein containing RNA-binding domains (RRM) mediates repression of a floral repressor gene FLC through a transcriptional silencing mechanism. Our aim will be to dissect how RNA metabolism drives chromatin changes, an important question in many areas of biology. Chromatin immunoprecipitation experiments will be used to explore the relationship between RNA processing and recruitment of FCA to FLC. We will characterize in an unbiased way all the FLC sense and antisense transcripts in different genotypes and define the RNA species to which FCA binds in vivo. In order to establish the generality of our findings we will also explore the genome-wide RNA features recognized by FCA and work collaboratively with Dr H. Chang (Stanford University) who is exploring how non-coding RNAs drive chromatin changes at mammalian HOX loci. Chromatin immunoprecipitation will be used to explore the requirements for FLD association to FLC chromatin and determine if the association of the chromatin regulator, FLD, to its target FLC is dependent on the RNA metabolic activities of FCA and FY. Working collaboratively with Prof. Y. Shi (Harvard Medical School - who first demonstrated histone demethylases exist) we will test the generality of RRM protein recruitment of histone demethylases to their targets by analysing the role of the most homologous human RRM proteins to FCA, on LSD1 targets in human cells. Lastly, in order to mechanistically understand the connection between chromatin modification activity and factors involved in RNA processing we will use tandem affinity purification to identify FLD associated proteins and RNA in vivo.	Biotechnology and Biological Sciences Research Council	Standard grant	600580.0	GBP
9	Prof Dame Caroline Dean	John Innes Centre	None	None	2012-07-30	Molecular analysis of the mechanisms linking co-transcriptional RNA processing with chromatin silencing	The project will exploit our recent work demonstrating that FCA, an Arabidopsis protein containing RNA-binding domains (RRM) mediates repression of a floral repressor gene FLC through a transcriptional silencing mechanism. Our aim will be to dissect how RNA metabolism drives chromatin changes, an important question in many areas of biology. Chromatin immunoprecipitation experiments will be used to explore the relationship between RNA processing and recruitment of FCA to FLC. We will characterize in an unbiased way all the FLC sense and antisense transcripts in different genotypes and define the RNA species to which FCA binds in vivo. In order to establish the generality of our findings we will also explore the genome-wide RNA features recognized by FCA and work collaboratively with Dr H. Chang (Stanford University) who is exploring how non-coding RNAs drive chromatin changes at mammalian HOX loci. Chromatin immunoprecipitation will be used to explore the requirements for FLD association to FLC chromatin and determine if the association of the chromatin regulator, FLD, to its target FLC is dependent on the RNA metabolic activities of FCA and FY. Working collaboratively with Prof. Y. Shi (Harvard Medical School - who first demonstrated histone demethylases exist) we will test the generality of RRM protein recruitment of histone demethylases to their targets by analysing the role of the most homologous human RRM proteins to FCA, on LSD1 targets in human cells. Lastly, in order to mechanistically understand the connection between chromatin modification activity and factors involved in RNA processing we will use tandem affinity purification to identify FLD associated proteins and RNA in vivo.	Biotechnology and Biological Sciences Research Council	Institute CSG	147196.0	GBP
