0	Professor Sir Walter Bodmer	University of Oxford	None	2006-04-01	2010-05-31	Genetics and epigenetics of colorectal cancer and intestinal metaplasias	A cancer is defined by the genetic and epigenetic changes in its cells and an understanding of the nature of these changes is fundamental to devising new approaches to prevention, early detection, and treatment. We will expand, and further characterise the genetic and epigenetic changes in our panel of colorectal cancer derived cell lines, including the use of whole genome micro-array gene expression technology. We will further investigate CDX1 and 2, as well as SFRP and CEA expression, and their control by promoter methylation and demethylation especially in adenomas and intestinal metaplasias. Primary tumour tissue will be used for clinical validation of the changes found in the cell lines. Studies on the distinctive anti CEA antibody, PR1A3, its ADCC activity and the use of a Min/CEA preclinical model will be pursued. Our approaches to the detection of rare tumour cells in blood and other tissues as a basis for early diagnosis, in collaboration with the company Ikonisys and using their automated scanning microscope, will be further developed. We will expand the search for rare variants in candidate genes as a basis for inherited susceptibility to multiple colorectal adenomas and other tumours, and also continue our general population studies.	Cancer Research UK	Programme Award	None	None
1	Professor Sir Walter Bodmer	University of Oxford	None	2005-10-01	2009-09-30	Role of methylation in colorectal cancer and intestinal metaplasias	A cancer is defined by its genetic and epigenetic changes. Methylation is now known to be a key epigenetic change for a number of genes in different cancers. This application is a contribution to our overall studies on gene methylation in colorectal and certain other cancers, and in intestinal metaplasias. For this analysis we use a panel of nearly 100 already well characterised colorectal cancer derived lines. Micro-array gene expression differences between control and 5 aza -2 deoxy- cytidine(5aza2) treated cell lines are being used to search for genes whose expression is likely to be affected by methylation. The methylation patterns in the promoter regions of selected genes are then established using the MassArray technology.This provides direct estimates of the extent to which each CpG in an island in the promoter region is methylated. The pattern of methylation can then be correlated with mRNA and protein expression of the gene to establish its functional relevance. The associations between the genetic and epigenetic changes can be correlated with each other and appropriately clustered to define functional pathways that are changed in the cancers. We have shown that methylation control of CDX1 is most probably a key step in the initiation of intestinal metaplasia and an important early step in a significant proportion of colorectal cancers. Gene expression differences between various sources of CDX1 expressing and non expressing cell lines are being used to search for genes that are regulated down stream by CDX1, as well as by its partner, CDX2. This has provided evidence for Keratin 20 as being CDX1 controlled .The expression of Keratin20 is associated with several other potential markers of differentiation.It appears likely that these patterns of expression reflect the difference between cancer stem cells in the cultures, which do not generally express these markers, and the progenitor cells derived from the cancer stem cells , which do. We are now using these patterns of expression to explore the characterisation of cancer stem cells in our cell line panel.	Cancer Research UK	Studentship	None	None
2	Professor Clare Isacke	Institute of Cancer Research	None	2005-06-01	2009-01-31	Role of the uPAR associated receptor Endo180 in matrix remodelling and cell migration during cancer invasion and metastasis	To date the research into cancer invasion and metastasis has focused on the genetic and epigenetic changes in the tumour cells. However, it has long been recognised that a key component of this process is the accompanying changes in the extracellular matrix and stromal cells which are essential for cancer invasion and a pre-requisite for the formation of secondary tumours. Endol 80 is a multidomain endocytic tansmembrane receptor. The restricted cell type distribution of Endol 80 and its upregulation in the tumour microenvironment, together with data demonstrating that this constitutively recycling receptor can bind and internalize collagens, interact with the uPA/uPAR protease system and promote both cell migration and chemotaxis has led us to propose a role for Endol 80 in both normal and pathological tissue remodelling. Using a combination of in vitro and in vivo assays, we will seek to address two key issues in this proposal, (1) what is the mechanism by which Endol 80 promotes cell migration ad chemotaxis and in particular how does this endocytic receptor integrate into the signalling pathways activated in response to growth factors or the extracellular matrix, and (2) what is the effect of stromal Endol 80 expression in promoting an invasive phenotype in tumour cells.	Cancer Research UK	Project Award	None	None
3	Dr Irina Stancheva	University of Edinburgh	None	2002-04-01	2008-03-31	Epigenetic gene silencing in normal and tumour cells	DNA methylation is an important component of the epigenetic changes that occur during the progression of cancer. Aberrant DNA methylation of promoter sequences in tumours leads to stable silencing of tumour suppressor genes and provides the modified cells with growth advantage similar to mutations or deletions. DNA methylation operates through a family of methyl-CpG binding proteins (MBDs) which act as a transcriptional repressors. At present the genomic target sequences for individual MBD proteins have not been identified, neither has it been postulated what, apart from the number of methylated CpGs, may determine the specificity of their binding in vivo. The work in my laboratory is focussed on identification of MBD proteins that are most commonly involved in the transcriptional repression of genes in lung cancer. We are using an approach based on chromatin immunoprecipitation (ChIP) to determine the genomic binding sites for the individual proteins of MBD family in vivo in normal and cancer cells. We are also investigating the functional aspects of gene silencing by MBD proteins and their role in the establishment of nuclear chromatin architecture. As a potential approach that may serve as a strategy for an anti-cancer therapy we are investigating whether interference with the function of MBD proteins in vivo leads to re-activation of methylation-silenced tumour suppressor genes. In addition we are trying to address the mechanisms that lead to the establishment of aberrant patterns of DNA methylation during the initial events of tumorigenesis. Altogether our research aims to elucidate the epigenetic controls of gene function and their contribution to the appearance and maintenance of specific tumour cell types.	Cancer Research UK	Fellowship	None	None
4	Dr Irina Stancheva	University of Edinburgh	None	2004-10-01	2008-09-30	Targeting of DNA methylation to gene promoters by chromatin remodelling helicase PASG in p53 deficient cancer cells	Growing evidence indicates that aberrant DNA methylation plays a direct causal role in tumourigenesis and genetic disease. The patterns of DNA methylation in cancers are modified in a complex manner relative to those in normal tissues - in most cases tumours display overall genome hypomethylation, which is accompanied by the appearance of methylated CpGs in promoter-associated, and usually methylation-free, CG rich sequences (CpG islands). This project aims to investigate the chromatin remodelling properties of SNF-like helicase PASG, and to determine whether PASG is able to recruit de novo DNA methyltransferase activities to gene promoters in cancer cells. The information derived from this research may elucidate the mechanisms underlying the origin of the complex epigenetic changes in cancer genomes and, due to the potential role of PASG as an oncogene, may produce new targets for therapeutic strategies.	Cancer Research UK	Studentship	None	None
5	Dr Adele Murrell	University of Cambridge	None	2006-10-01	2010-09-30	Genomic imprinting and epigenetic profiles in breast cancer	None	Cancer Research UK	Studentship	None	None
6	Prof Wolf Reik	Babraham Institute	None	None	2010-09-30	MRC Capacity Building Studentship: Role of cytidine deaminases and base excision repair in epigenetic reprogramming	Genetic information is passed from generation to generation and is the material upon which natural selection acts. On top of this genetic information the genome also contains epigenetic information in the form of chemical and other modifications to DNA, which are associated with gene expression and genome function. Epigenetic mechanisms of gene regulation are of key importance in development, stem cell biology and regenerative medicine, and cancer. During certain periods of early development of an embryo, epigenetic modifications including DNA methylation are reprogrammed on a genome wide level. This may be important in order to establish totipotency (the ability to give rise to an entire organism) of the embryonic genome. The mechanisms of the removal of DNA methylation from the genome are unknown in mammals. This student project investigates a class of candidate enzymes in the mouse which have been shown to be able to chemically alter methylated cytosines. There are four of these candidate genes in the mouse genome, for three of which we have knockout mutations (to create inactive genes). A fourth knockout is being constructed, and knockouts will then be examined for altered DNA methylation, development, and possible effects on cancer risk.	Biotechnology and Biological Sciences Research Council	Institute CSG	180944.0	GBP
7	Dr Michaela Frye	University of Cambridge	None	2007-02-01	2013-01-31	Functional analysis of the proto-oncogene Myc in adult epidermal stem cell self-renewal and differentiation	The transcription factor Myc promotes tumourigenesis in mice and humans but its functions in non-malignant cells remain enigmatic. Recent studies have revealed a role in regulating adult stem cell homeostasis. Activation of the Myc/Miz1 complex induces exit from the stem cell compartment by directly repressing genes involved in cellular adhesion. Once the stem cells have left the niche, Myc induces cell proliferation via growth promoting target genes like Misu, a novel RNA methyltransferase. I have obtained evidence that during these rounds of cell division Myc and possibly also Misu establish chromatin modifications that might regulate differentiation into specific epidermal lineages. Knowledge of the mechanisms that regulate cell proliferation and epigenetic changes in normal tissues will provide new strategies for cancer treatment. The aim of my proposal is to analyse the epigenetic and transcriptional changes regulated by Myc that trigger the exit of epidermal stem cells from their niche. To analyse the function of Misu in vivo, I will generate a loss of function mouse model. To further dissect how Myc regulates cell adhesion and proliferation, I will analyse dominant negative mutants of Myc. Finally, I will identify chromatin modifications of direct Myc/Miz1 target genes to determine epigenetic changes that might be responsible for lineage commitment in skin.	Cancer Research UK	Fellowship	None	None
8	Professor Charles Coombes	Imperial College London	None	2008-04-01	2013-03-31	Small Molecule Cancer Drug Discovery Programme Grant	We propose to create a pipeline for small molecule anti-cancer drug discovery and development. Initial focus will be on the evaluation of 4 targets currently in the drug development phase. We have focussed on areas that exploit existing biological and clinical expertise in cancer relevant areas at IC: transcriptional and epigenetic regulation of gene expression, particularly as related to hormone-dependent signalling pathways in breast and prostate (Bevan/Waxman) cancer, and stress responses or resistance to current chemotherapies. One target (CDK7) is the ?Lead Optimisation' phase, with sets of compounds already selected for optimisation on the basis of biological screens. Following the move to London of Professor Brown, we have one ?hit to lead' project: the methylation/ MBD programme. We have synthesised preliminary sets of compounds, following the award of the Medicinal Chemistry Training award, targetted against the molecular target SIRT1 and we will start research on LRH-1 in October 2007. These projects will be in the ?CADD-directed Hit Generation' phase. We have two targets in reserve for hit generation (TDG and GNMT); these have come from our CR-UK programmes on endocrine therapy of breast cancer and epigenetics of drug resistance. All these targets are implicated in resistance to therapy in breast and prostate cancer. We will utilise the strengths of Medicinal Chemistry (Barrett), and protein crystallography/structural biology (Freemont). The programme will dovetail with CR-UK programme grant support for breast cancer biology (Coombes), drug resistance & pharmacodynamics (Brown), molecular imaging (Aboagye), and will be further supported by the IC CR-UK Medicinal Chemistry studentship programme (Barrett, Coombes) and the recently-awarded ECMC programme (Coombes/Seckl), which will provide the necessary translational underpinning as leads are taken into the clinic.	Cancer Research UK	Project Award	None	None
9	Dr Irina Stancheva	University of Edinburgh	None	2008-04-01	2014-09-30	Senior Cancer Research Fellowship: Epigenetic gene silencing in normal cells and cancer	Genes protecting cells from becoming a cancer, can be inactivated either by mutations in DNA sequence or by inappropriate addition of methyl groups to DNA at their control regions. My research goals are to gain a detailed understanding into the molecular mechanisms that lead to inappropriate gene silencing in cancer and to identify potential target proteins for future anti-cancer therapies. Last updated 10/04/2007	Cancer Research UK	Fellowship - Senior Cancer Research Fellowship (TCDB)	None	None
10	Dr Nicole Clarke	University of Nottingham	None	2008-04-01	2011-07-31	Identification of novel tumour suppressor pathways controlled by IRF1	Cancer cells inherently contain heterogeneity in the mutations and pathways that have been deregulated. This fact makes it important to elucidate and understand different tumour suppressor pathways in the cell that can be exploited for cancer therapy. Towards this goal we propose to study the ?tumour susceptibility gene? IRF1, which was previously shown by colleagues and I, to be a key activator of TRAIL death ligand expression in cancer cells after IFN and retinoid treatment. The induction of TRAIL by IRF1 then leads to cancer cell death via the death receptor pathway. There is still relatively little understood about the cellular pathways IRF1 controls and many of the target genes of IRF-1 remain to be identified. Two long-standing question in the field is 1) What are the tumour suppressor networks controlled by IRF1 and 2) Why do double knockout mice (p53-/-,IRF1-/-) display such profound differences in their observed tumour spectrum compared to p53-/-mice alone? We aim to answer these questions by using (Chip-chip) microarray technology to identify the direct gene targets of IRF1. We will couple these experiments to siRNA (small interfering RNA) knockdown of IRF1 to characterize its specific roles in regulating these genes. We will also characterize and then compare the epigenetic modifications occurring at IRF1 target genes in cancer cells vs normal cells. An important aspect of the proposed project is that it will allow a global view of IRF-1 tumour suppressor action and will identify where aberrant epigenetic modifications of target genes may interfere with IRF1 tumour suppressive activities. Finally, these studies will lead to a better understanding of anti-cancer networks in the cell and could provide novel avenues for cancer treatment.	Cancer Research UK	Project Award	None	None
