0	Prof. Garry Blakely	University of Edinburgh	None	None	None	A Novel platform technology for industrial-scale production of an immune targeted Covid-19 vaccine	Effective vaccines are essential tools for combating infectious diseases. To elicit an antibody response the vaccine components must be taken-up by antigen presenting cells (APCs). We propose that modification of protein components from the SARSCoV-2 virus, by adding a specific sugar, will enhance their uptake by APCs and improve vaccine efficacy. We will perform this modification in a bacterium, Streptomyces lividans, which can be used for industrial-scale fermentation to rapidly produce the large quantities of vaccine components required for a nation-wide vaccination campaign.	Chief Scientist Office	Research Grant	46000.0	GBP
1	Prof Dame Carol Robinson	University of Oxford	None	None	None	Applications of Mass Spectrometry to Membrane Protein Drug Development, to address urgent work on COVID-19	Impact/national response: our aim is to accelerate effective drug development and provide critical data rapidly for continued research. We will determine novel chemical matter for further development, identify existing drugs for repurposing and highlight off-target drug binding Urgency: The type of data we are able to generate is needed now to feed into drug discovery programmes; it cannot be obtained through other experimental platforms in the same timescale (6 months)Our approach: we will probe associations in viral assembly and cellular entry pathways using our bespoke massspectrometry (MS) platform (Nature Methods in press). We will monitor the oligomeric status of proteins their ligand binding capacity and PTM status within individual experiments.Objective 1: inhibit Mpro through disruption of the monomer dimer interface.Mpro, a key CoV enzyme, mediates viral replication and transcription. Mpro shares considerable homology withMERS-CoV Mpro which showed substrate-induced dimerization with proteolytic activity. We have proof-ofconceptdata that show the monomer-dimer equilibrium enabling us to screen to disrupt dimer interactionsusing our unique MS platform.Objective 2: understand antigen processing and interactionsPrevious SARS-CoV infections suggest that glycosylation of a specific residue abrogates S protein binding implyingthat interfering with glycosylation could impede recognition. We will investigate how S protein glycans affectassociations with ACE2 to inform design of glycoprotein processing inhibitors.Objective 3: characterise the oligomeric states and binding sites of ACE2The SLC B0AT1 supports dimerization of ACE2. How do lipids, proteases (TMPRSS2) and other small moleculesregulate its activity? We will apply MS-based methods, optimized to study membrane proteins, protein-protein,and protein-ligand interactions to this complex.Feasibility/Critical mass: All proteins are available immediately through collaboration with the SGC Oxford. Wealso have unique chemical libraries that can be deployed for this project as well as bespoke instrumentation. Ourdepartment is open for COVID-19 work only. I have secured permission for access and have engaged a dedicatedteam of highly experienced researchers.Accessibility: High-throughput screens using X-ray structures are ongoing in Oxford and feed into the COVID-19Therapeutics Accelerator Consortium. We will communicate all our findings immediately to this, and other localand national initiatives, including national repositories where they can be accessed immediately. Wherepertinent, these (and other) findings will also be communicated to decision makers through my role as Presidentof the Royal Society of Chemistry.	UK Research and Innovation	Research Grant	None	None
2	Professor Graham Ogg	University of Oxford	None	2020-04-01	2021-03-31	SARS-Cov2 equipment purchases for HIU to support their COVID-19 activities	This £246k award is to procure equipment to support the Units important work on COVID-19.This exceptional is being made in recognition of the fact that research will be critical to overcoming this epidemic.	Medical Research Council	P&Cs	246000.0	GBP
3	Professor Christopher Butler	University of Oxford	None	2020-04-01	2021-09-30	Platform Randomised trial of INterventions against COVID-19 In older peoPLE (PRINCIPLE)	This COVID-19 Rapid Response award is jointly funded (50:50) between the Medical Research Council and the National Institute for Health Research. The figure displayed is the total award amount of the two funders combined, with each partner contributing equally towards the project. COVID-19 disproportionately affects people = 50 years old with comorbidities and those = 65 years old. No specific treatment has yet been proven in rigorous clinical trials to be effective against COVID-19. Most clinical trials are hospital-based. Yet, most cases are managed in the community, so interventions proven to be effective are urgently in primary care that prevent hospitalisation and speed recovery. PRINCIPLE will be a Phase III, platform, response-adaptive, open-label randomised controlled trial in primary care. The platform trial will operate under a master protocol that allows the addition or replacement of further interventions. Outcome data will be analysed as the trial is in progress: if evidence emerges that one arm is more effective, we might be able to allocate more people to that arm. PRINCIPLE will, in the first instance, evaluate usual care plus hydroxychloroquine 200mg twice a day for 7 days. This drug is already in wide use, but not for this indication. The comparator will be usual care without a study drug. Eligible patients will be aged =50-64 years with a defined comorbidity, and patients aged =65 with or without comorbidity presenting within 7 days since onset of symptoms with a new continuous cough and/or high temperature during time of prevalent COVID-19 infection. Approximately 3000 eligible participants will need to be randomised in the first instance in order to determine whether the first drug we plan to evaluate is more effective than usual care alone in preventing hospital admission and/or death in people with suspected COVID-19.	Medical Research Council	P&Cs	1706579.0	GBP
4	Dr Frances Hall	University of Cambridge	None	None	2021-09-30	mulTi-Arm Therapeutic study in pre-ICu patients admitted with Covid-19 – Repurposed Drugs (TACTIC-R)	TBC	UK Research and Innovation	Research Grant	699710.0	GBP
5	Professor Davey Jones	Bangor University	None	2020-04-15	2021-04-14	Use of wastewater analysis to evaluate the incidence of coronavirus (SARS-CoV-2) in the UK population	The emergence of the novel coronavirus strain SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) is now viewed as a major global threat to human health. Recent estimates predict the deaths of 15 million people worldwide and that SARS-CoV-2 infections are likely to result in an economic loss £2.1 trillion GDP. Effective monitoring of this pathogen is vital to estimate the amount of infection circulating in the Human population, and to inform the design of measures for controlling the spread of disease. The number of hospitalization cases from SARS-CoV-2 related diseases (COVID-19) provides some measure of disease prevalence in the population, it provides no reliable information on mild infections and asymptomatic carriers. The use of random 'spot checks' and thermal imaging cameras have been introduced to screen for infections, though these are costly to implement and very imprecise. Consequently, better methods are needed to evaluate SARS-CoV-2 prevalence in the wider population. As SARS-CoV-2 is shed in faeces in high amounts (Xiao et al., 2020, Zhang et al., 2020), we hypothesize that wastewater can provide a powerful indicator of disease incidence at any point in time (Ye et al., 2016), particularly as most UK urban centres are served by only 1 or 2 wastewater treatment works, thereby providing a single integrated signal of millions of people in a single sample. The aim of this NERC Urgency project is therefore to: (1) use wastewater to provide near real-time information on the incidence of SARS-CoV-2 within the UK population; (2) monitor the rise and subsequent decline of SARS-CoV-2 in the UK population, and to compare this to conventional disease reporting metrics (e.g. confirmed SARS-CoV-2 hospitalization cases); (3) identify similarities in the abundance of SARS-CoV-2 in the major urban centres of the UK; (4) demonstrate the use of wastewater for the integrated surveillance of human pathogenic viruses within the Human population; (5) provide stakeholders (e.g. national government, NHS, HPA, PHE, PHW, HPS, water companies etc) with critical scientific information and tools to be able to respond and adapt to current and potential future disease epidemics.	UK Research and Innovation	Research Grant	52235.0	GBP
6	Prof. Carl Goodyear	University of Glasgow	None	None	2021-04-14	Viral and Immunological correlates of clinical severity and response to anti-viral therapy for Covid-19	The clinical outcome of COVID-19 is ultimately determined by viral replication in the face of the host immunity. The latter can either control viral infection or exacerbate disease due to uncontrolled inflammatory processes that damages tissues. Hence, in order to establish the efficacy of antiviral therapies and determine whether stratification can aid clinical decisions in COVID19 patients, we need to identify correlates of disease severity and response to treatment. This proposal aims to fully determine the dynamic viral and immunological changes occurring during the different clinical stages of COVID-19. We will use a clinical trial for Favipiravir (GETAFIX, GLA3), an antiviral drug as our test case to develop our biomarkers but can roll this project out to support other trials within ASTERIX (GLA2).	Chief Scientist Office	Research Grant	319473.0	GBP
7	Professor Mark Viney	University of Liverpool	None	2020-04-27	2021-04-26	The exposure of urban rodents to the human COVID-19 virus and the potential for viral recombination	All of us are affected by the COVID-19 pandemic, which is caused by a virus (technically, SARS-CoV-2) that originally jumped from an animal (probably a bat) into a person. Now the virus is spreading person-to-person directly. COVID-19 is a coronavirus, and coronaviruses are very common in wild animals. While each coronavirus typically infects one species of animal, coronaviruses can move between animal species too. So the general idea is that animals are "reservoirs" of viruses that sometimes moves into people. Because so many people are getting infected with COVID-19, we think that humans might now be a virus reservoir infecting animals. If this does happen, it's most likely where there are high densities of people and of animals - such as rodents in cities, where large numbers of people and rodents live cheek-by-jowl. This is the idea we want to test. But why does this matter? Different viruses can also mix their genetics (technically, recombine), and so we also wonder if the human COVID-19 does infect rodents, whether it will then recombine with other coronaviruses already in those rodents. There are a lots of 'ifs' in these last few sentences, which is because these are just theories that we have. We now want to see if these theories - these 'ifs' - are correct. To do this we want to catch city-dwelling rats and mice that we'll then screen for the human COVID-19 virus, or close relatives of it.	UK Research and Innovation	Research Grant	170285.0	GBP
8	Professor Christopher Butler	University of Oxford	None	2020-04-01	2021-04-26	Platform Randomised trial of INterventions against COVID-19 In older peoPLE (PRINCIPLE)	COVID-19 disproportionately affects people ≥ 50 years old with comorbidities and those ≥ 65 years old. No specific treatment has yet been proven in rigorous clinical trials to be effective against COVID-19. Most clinical trials are hospital-based. Yet, most cases are managed in the community, so interventions proven to be effective are urgently in primary care that prevent hospitalisation and speed recovery. PRINCIPLE will be a Phase III, platform, response-adaptive, open-label randomised controlled trial in primary care. The platform trial will operate under a master protocol that allows the addition or replacement of further interventions. Outcome data will be analysed as the trial is in progress: if evidence emerges that one arm is more effective, we might be able to allocate more people to that arm. PRINCIPLE will, in the first instance, evaluate usual care plus hydroxychloroquine 200mg twice a day for 7 days. This drug is already in wide use, but not for this indication. The comparator will be usual care without a study drug. Eligible patients will be aged ≥50-64 years with a defined comorbidity, and patients aged ≥65 with or without comorbidity presenting within 7 days since onset of symptoms with a new continuous cough and/or high temperature during time of prevalent COVID-19 infection. Approximately 3000 eligible participants will need to be randomised in the first instance in order to determine whether the first drug we plan to evaluate is more effective than usual care alone in preventing hospital admission and/or death in people with suspected COVID-19.	UK Research and Innovation	Research Grant	1706579.0	GBP
9	Prof. Catriona Matheson	University of Stirling	None	None	2021-04-26	Understanding the health impacts of the Covid-19 response on people who use drugs in Scotland (PWUD): implications for Covid-19 infection/transmission and impacts on harm reduction, treatment and recovery	People Who Use Drugs (PWUD) are at increased risk of acquiring and transmitting the virus through their social drug purchasing and using behaviours. Lack of availability of illicit drugs may put some PWUD at increased risk of Covid-19 through changing patterns of drug purchasing/use whilst others may reduce/stop drug use to avoid social contact. Altered drug service provision may expose PWUD to harm through overdose or relapse (ISAM, 2020). We will interview PWUD to understand the risk environment and implications for public health responses to Covid-19.	Chief Scientist Office	Research Grant	28033.0	GBP
