0	Professor Philip Bath	Nottingham,University of	Stroke Trials Unit, Division of Clinical Neuroscience	None	None	Assessment of modern machine learning methods and conventional statistical regression techniques in diagnosis and prediction of outcome after acute stroke using big data	Stroke is common, may be mimicked by other conditions, and often has a poor outcome. We will use high-fidelity big data from acute stroke trials (which will include those with stroke, TIA and mimics) involving up to 90,000 instances/patients with baseline clinical and imaging, on treatment, diagnostic and outcome information. We will assess the accuracy of state-of-the-art machine learning with artificial neural network (ANN) models, including deep neural networks (DNN), in the diagnosis of stroke versus mimics, and prediction of early complications (deterioration, stroke recurrence and re-bleeding) and late outcomes (functional outcome, cognition, mood, quality of life, disposition, death) after stroke. These will be compared with conventional statistical regression models (binary, Cox, ordinal and linear regression). Neither ANN/DNN nor statistical approaches are used routinely in stroke management in part because of poor accuracy and acceptability to clinicians. If diagnostic and prediction models are accurate and acceptable to patients and clinicians then their use could be rapidly introduced into clinical care to improve patient management, for example through the use of apps on phones/tablets/computers.	British Heart Foundation	Project Grant	145079.0 GBP
1	Professor David Stuart	Diamond Light Source Ltd	None	2018-10-01	2021-09-30	SuRVoS Workbench: Enhanced machine learning for segmentation across structural biology	Very high-resolution 3D biological images can be directly interpreted in terms of atomic structures, lower-resolution data however is interpreted by segmenting into separate volumes. Volumetric biological image data has many complexities which make segmentation difficult. These data are often low contrast, with low signal-to-noise and can be terabytes in size, so that segmentation is an error-prone and time-consuming bottleneck. SuRVoS uses machine learning, advanced image filters and over-segmentation methods to semi-automate the process, dramatically reducing the time to segment data from weeks to days. This project aims to further reduce that time and increase reliability using the latest developments in machine vision and enhanced training sets. The ultimate goal is to completely automate segmentation using advances in deep learning. Such methods require significant quantities of already segmented data to train the systems. To build segmented data for this development the segmentation tools in SuRVoS will be incorporated into a citizen science platform (Zooniverse), enabling the segmentation of many datasets from a wide range of techniques and model systems, without placing a large burden on individual researchers. This platform will then feed-back firstly to enhance segmentation across the bio-imaging facilities at Diamond enabling users’ research, and ultimately the broader user community.	Wellcome Trust	Biomedical Resources Grant	605412.0 GBP
2	Univ.Prof. Dr. Andreas UHL	University of Salzburg	None	2019-10-01	2022-09-30	Tools for the Generation of Synthetic Biometric Sample Data	Current day biometric recognition and digitized forensics research struggles with a problem severely impeding progress in these security relevant fields: Large scale datasets of biometric data would be required to allow for flexible and timely assessments, but these are missing due to various reasons, amongst them privacy concerns. The latter have increased with the EU GDPR to an extend that even well established standardization bodies like NIST in the USA removed a large part of their publically available datasets before the GDPR became effective in May 2018. To solve this problem and address the attached data quality dimensions (quantitative as well as qualitative concerns), we will research methods allowing for the generation of large-scale sets of plausible and realistic synthetic data to enable reproducible, flexible and timely biometric and forensic experimental assessments not only compliant with the hunger for data we see with modern day techniques but also with EU data protection legislation. To achieve our goals, the work in this project follows two distinct solution approaches: The first (data adaptation) takes existing biometric / forensic samples, adapts them to reflect certain acquisition conditions (sensorial, physiological as well as environmental variability), and (if required by the application context) conducts context sensitive control of privacy attributes. The second approach (synthesizing) creates completely artificial samples from scratch according to specified sensorial, physiological as well as environmental variability. The practical work in the project is focused on digitized forensic (latent) fingerprints as well as on the two biometric modalities fingerprint (FP) and vascular data of hand and fingers (i.e. hand- and finger-vein images) (HFV). The theoretical and methodological concepts and empirical findings will be generalized, to discuss the potential benefits of the research performed also for other modalities (esp. in face recognition). From a methodological viewpoint, adapting samples to specific acquisition conditions may be seen as a domain adaptation process. To achieve this, we employ recent supervised and unsupervised generative deep learning techniques for data synthesis on the one hand; on the other hand we establish more traditional, model-based image processing pipelines using interactive guided image manipulations that are generalized to an arbitrary sample number. Also, the control of privacy attributes for samples is interpreted as a domain shift operation, removing privacy relevant data attributes by shifting the sample data to a domain in which these attributes are changed. Back-to-back, also model-based techniques will be investigated to remove privacy carrying sample-attributes from the data while keeping the identity carrying ones. All investigated techniques will be exemplary applied to generating data for investigating (i) robustness of hand- and finger-vein recognition schemes (exemplary selected for biometric recognition), (ii) presentation attack artifacts (exemplary selected for biometric recognition and digitized forensics), and (iii) digital dactyloskopy (exemplary selected digitized forensics). The project will be organised as an international project conducted by two groups at Magdeburg (Germany) and Salzburg (Austria) Universities, respectively, which are lead by Prof. Jana Dittmann (for the German side) and Prof. Andreas Uhl (for the Austrian side).	Austrian Science Fund FWF	None	431951.73 EUR
3	Professor Mauricio L. Barreto	Fiocruz (Oswaldo Cruz Foundation)	None	2020-04-01	2021-09-30	The risk of a chronic clinical condition following a previous hospitalisation by a psychiatric disorder: a linkage nationwide study in Brazil	This project will analyse electronic data routinely collected within the Brazilian Public Health System (SUS). It involves enriching this type of data by linking them to other Brazilian governmental databases destined to national social protection programmes, which have important socio-economic variables of the individuals. A very large dataset with over 114 million people (The 100 Million Brazilian Cohort), which more than half of the Brazilian population, will be consolidated to the study of multimorbidity and its socio-economic determinants nationwide. Therefore, establishing foundations on the magnitude of the problem, in particular on the most impoverished population and for further studies on this subject in Brazil and other similar middle-income countries. We aim to study the risk of hospitalisation or death by diabetes mellitus, cardiovascular disease, stroke, or tuberculosis associated with previous hospitalisation by the following psychiatric disorders: depression, alcohol and substance use-related, and schizophrenia. We also intend to identify disease clusters and their related patterns, and how these patterns interact over time to influence the formation of such clusters. "Big data" is seen as having great potential to answer numerous questions and CIDACS collection of Brazilian data is unique in low-middle income countries. Our access to this collection of data allows for unprecedented study of morbidity and mortality in a nationwide scope.	Medical Research Council	P&Cs	161780.0 GBP
4	Professor Christopher Gale	Leeds, University of	Leeds Institute of Cardiovascular and Metabolic Medicine	None	2021-09-30	Predicting patient-level new onset atrial fibrillation from population-based nationwide electronic health records: A precision medicine investigation using artificial intelligence	Atrial fibrillation (AF) is a major cardiovascular health problem: it is common, chronic and incurs substantial health-care expenditure as a result of stroke, sudden death, heart failure and unplanned hospitalisation. There is a compelling argument for the early diagnosis of AF, before the first complication occurs, but population-based screening is not recommended. Strategies to identify individuals at higher risk of new onset AF are required. Previous risk scores have been limited by data and methodology. This PhD will use routinely collected hospital-linked primary care data and focus on the use of artificial intelligence methods to develop and validate a model for the prediction of incident AF. Specifically, the studentship will investigate how population-based data may be used for precision medicine using a deep neural networks learning model. Using clinical factors readily accessible in primary care, the studentship will provide a method for the identification of individuals in the community who are at risk of AF, as well as when incident AF will occur in those at risk, thus accelerating research assessing technologies for the improvement of risk prediction, and the targeting of high-risk individuals for preventive measures	British Heart Foundation	Fellowship	188229.0 GBP
5	Professor Andrew Lotery	University of Southampton	None	2019-01-01	2024-01-01	Deciphering AMD by deep phenotyping and machine learning	We will identify the structural changes leading to and associated with cell degeneration in the retina in patients with early age-related-macular-degeneration (AMD). This will pinpoint what makes AMD progress towards visual loss (late AMD). This will be achieved via machine learning, genotyping and high resolution phenotyping of early AMD patients using retrospective and prospective data. Patients will undergo state-of-the-art imaging of the major tissues; neurosensory retina, retinal pigment epithelium and choriocapillaris to identify the sequence of cell degeneration. We will control for genetic risk by genotyping to infer ancestry and to identify individuals with extreme polygenic risk scores. Thus accounting for confounder effects of cryptic genetic diversity. Machine learning will be utilized to generate a generalized model of AMD progression on a population basis, enabling us to assess individual deviation from normal ageing. Structural imaging biomarkers will be developed in already collected extensive imaging databases, and validated in a prospective cohort study. Biomarkers will: 1) detect conversion to late AMD earlier; 2) discriminate slow/fast progressors and 3) identify therapeutic targets. Results should improve clinical trial design by better characterizing study populations and result in novel therapies by identifying the underlying mechanisms of one of the largest unmet medical needs.	Wellcome Trust	Collaborative Award in Science	3980169.0 GBP
6	Professor Andrea Mechelli	King's College London	None	2018-04-01	2020-04-01	Using deep learning technology to make individualised inferences in brain-based disorders	Brain-based disorders, including psychiatric and neurological illnesses, represent 10.4% of global disease. At present, objective tools for detecting these disorders, monitoring their progression over time and optimising treatment, are not available. In this project, Dr Andrea Mechelli at King's College London and colleagues are planning to use an innovative approach that capitalises on the latest developments in an emerging area of artificial intelligence known as "deep learning technology". Inspired by how the human brain processes information, this technology allows detection of complex and distributed patterns in the data that are difficult to capture using existing approaches. First, the team will assemble a very large dataset comprising neuroimaging data from 12,000+ disease-free individuals and 2,000+ patients with psychosis. Deep learning technology will then be used to develop a model of the disease-free brain across the different ages and genders. Finally, the team will illustrate how this model can be used to detect neuroanatomical alterations and inform clinical assessment in individual patients. This project will lead to the development of a practical and flexible web-based tool for measuring neuroanatomical alterations in any brain-based disorders. This tool could help clinicians assess the presence of a disease, monitor its progression over time and optimise treatment in individual patients.	Wellcome Trust	Innovator Award	421871.0 GBP
7	Dr Yee-Haur Mah	King's College London	Imaging & Biomedical Engineering	2019-09-09	2022-09-08	Clinical outcome modelling of rapid dynamics in acute stroke with joint-detail, continuous, remote, body motion analysis	Stroke is characterised by rapid temporal dynamics and marked functional heterogeneity, with early changes in the dynamics of upper limb recovery shown to be predictive of longer-term functional outcomes. Optimal stroke care therefore requires both detailed characterisation of the functional deficit and a high-resolution index of its rate of change. While such high-definition clinical supervision could be delivered, it would require close to a 1:1 staff/patient ratio, and could not be standardised with formal, objective models of the relation between outcomes and clinical features. Recent advances in deep learning-assisted modelling of ordinary video data have enabled the real-world extraction of detailed body motion information, resolved down to major joints, without body-worn devices and robust to large variations in body characteristics, dress and environmental context. My clinical and engineering collaborators have developed an inexpensive miniaturised device-MoCat-that combines in analysing body motion the richness and anatomical detail of a clinician with the objectivity and automatic deployability of a machine, in real time, within real-world clinical environments. Crucially, MoCat does not store or transmit video data, preserving patient privacy, and does not require any alteration to current care pathways (e.g. addition of body markers) or major changes to a hospital's digital or estate infrastructure, rendering it readily deployable throughout the NHS and beyond. We propose to deploy MoCat on the Hyperacute Stroke Unit at King's College Hospital. We shall quantify (1) within high-dimensional predictive models, the relationship between trajectories of motor deficits at different time scales and clinical outcomes of interest and actionable care pathway deviations; and (2) within high-dimensional lesion-deficit anatomical inferential models, the relation between trajectories of motor deficits at different temporal scales and stroke lesion patterns.	Medical Research Council	Research Grant	219833.0 GBP
8	Dr Heba Sailem	University of Oxford	None	2017-06-01	2021-11-30	Knowledge-driven analysis of image-based genetic screens using deep learning	Characterising gene functions is important for understanding life at the molecular level, and has a great impact on pharmacological and biomedical studies. Genetic screens that utilise High Throughput Imaging (HTI) have proved to be a powerful tool for studying gene functions by monitoring phenotypic changes in genetically modified cells. Challenges in analysing HTI datasets have significantly hindered knowledge discovery from such rich datasets. As HTI datasets are now acquired on a routine basis, there is a great need for generalisable analysis methods. Deep learning has revolutionised computer vision as it can automatically extract features and classify raw images without the need for any image preprocessing. I will develop deep learning methods to automatically discover cellular phenotypes and infer gene functions based on phenotypic similarity. I will build an integrative framework that utilises Functional Annotations (FAs) from various biological databases to annotate and classify images. I will apply these methods to five genome-wide datasets to predict tissue-specific gene functions based on the phenotypes of various cellular structures. The outcome of this work will be robust and generalisable HTI analysis methods that associate phenotypes to gene functions using deep learning as well as the discovery of novel gene functions and associated phenotypes.	Wellcome Trust	Sir Henry Wellcome Postdoctoral Fellowship	250000.0 GBP
9	Prof. Dr. Philipp GROHS	University of Vienna	None	2017-08-01	2020-10-31	Stable Infinite Dimensional Phase Retrieval	Phase retrieval refers to the problem of restoring a signal from intensity measurements only. Such problems appear in a number of important applications, starting from the classical phase retrieval problem in X-ray diffraction imaging where a signal is to be reconstructed from its Fraunhofer diffraction pattern which mathematically corresponds to the modulus of its Fourier transform. Further areas where such problems arise range from X-ray crystallography, microscopy to audio processing and deep learning. Due to the substantial amount of missing information, the numerical solution of phase retrieval problems is typically extremely challenging, especially in the presence of noise, which unfortunately is typically unavoidable. In recent work we were able to partially explain these difficulties by showing that any phase retrieval problem which is posed on an infinite-dimensional Banach space is automatically unstable in the sense that the reconstruction procedure can never be globally Lipschitz continuous. This negative result also shows that, in order to have any hope of achieving stable phase retrieval for realistic problems, new stabilization and preconditioning strategies are needed. The present proposal develops a deep understanding of the (in)stability properties of phase retrieval problems to explore such stabilization or preconditioning strategies, both from a mathematical and an algorithmic point of view. One of our starting points will be a newly developed theory of multi-component Lipschitz stability which has recently been introduced by the proposer and coauthors and which constitutes a weaker stability concept than global Lipschitz stability that is still sufficient for several applications of interest. As a main deliverable we plan to establish a comprehensive mathematical theory for the stability analysis of phase retrieval problems. Based on these mathematical results, we will analyze several physically meaningful measurement scenarios in terms of their stability with respect to noise with the aim of constructing the first ever provably convergent and noise-stable algorithms for the numerical solution of the corresponding phase retrieval problem. In addition, we will use our new theoretical understanding to explore the design of new measurement scenarios achieving superior stability as compared to standard methods, for instance in coherent diffraction imaging.	Austrian Science Fund FWF	Stand-Alone Project	368985.75 EUR
