0	Professor Cyrus Cooper	MRC Lifecourse Epidemiology Unit	None	2006-04-01	2010-03-31	The Southampton Women's Survey (SWS)	The Southampton Womens Survey is a study of 12,583 Southampton women aged 20-34 years assessed when they were not pregnant. 3,160 of these women were followed through a subsequent pregnancy and the children are followed through infancy and childhood. The SWS is a rare example of a birth cohort study with data from before conception that has not been obtained by recall. Pre-conceptional recruitment of the women generally resulted in early ascertainment of pregnancy allowing detailed follow-up and fetal scan measurements throughout gestation.||The principal objectives of the SWS are |To characterise the influence of a mothers own fetal growth and of her dietary balance, body composition and endocrine profile before and during pregnancy on: (i) the early trajectory of fetal growth; (ii) the maintenance of this growth trajectory in late gestation; and (iii) placental and fetal adaptive responses, including altered regional blood flow and body composition in the fetus.|To examine how maternal and intrauterine influences interact with the offsprings genes and postnatal environment to determine: (i) weight gain, head growth and linear catch-up growth in infancy; (ii) the pathways of growth and development during childhood that lead to poor adult health; and (iii) cardio-respiratory function and asthma in childhood, as well as levels of risk factors for adult coronary heart disease, type 2 diabetes mellitus and osteoporosis.||Within the SWS, we have identified strong relationships between educational attainment and the quality of a womans diet when non-pregnant, which in turn is the strongest predictor of the way she feeds her child in infancy. Infants fed according to feeding recommendations tended to have higher lean mass and lower fat mass at age 4 years and to have higher IQs. These findings have led to interventions in women from disadvantaged areas with a view to improving health and lifestyles in women before pregnancy and in those looking after children. Additionally we are working with school children to improve their diets and lifestyles and help them understand the long-term implications for their health and that of their children. Relationships have been found between maternal vitamin D status in pregnancy and bone mineral density in the offspring and this has led to a randomised controlled trial of vitamin D supplementation during pregnancy.||Other findings relate to early lung function development, influences on fetal liver blood flows, risks of depression in young women, placental calcium transport in relation to bone density, and epigenetic processes in early development.	Medical Research Council	Unit	None	None
1	Professor Richard Festenstein	Imperial College London	None	2019-03-01	2022-11-30	The UK arm of a multi-centre study of the efficacy and safety of nicotinamide in patients with Friedreich’s ataxia (NICOFA)	Friedreichs ataxia is the most frequent early-onset autosomal recessive hereditary ataxia. It is caused by a pathological expansion of a GAA repeat in the first intron of the frataxin gene (FXN) which is present in 98% of the disease alleles. The expansion of the intronic GAA repeat beyond the pathologic threshold inhibits FXN expression resulting in decreased levels of FXN protein. FXN is a mitochondrial protein involved in the control of iron homeostasis and in the biogenesis of iron–sulphur clusters. In peripheral blood mononuclear cells mean residual levels of FXN are reduced to 36% in typical patients with Friedreichs ataxia. FXN deficiency results in a relentlessly progressive neurodegenerative condition which frequently presents around puberty. Patients gradually lose coordination become dysarthric and are frequently wheel-chair bound as adolescents. There is no disease modifying therapy and many patients die prematurely of cardiomyopathy. It has been demonstrated that GAA-triplet repeats can trigger abnormal compaction of a linked reporter gene in vivo leading to the archetypal epigenetic gene silencing phenomenon of position effect variegation (PEV) (Saveliev 2003). This GAA-repeat silencing was exquisitely sensitive to the gene dosage of PEV modifiers which encode enzymes that modify chromatin. It was subsequently found that the FXN gene is silenced at the chromatin level by the formation of heterochromatin and that this heterochromatin formation can be antagonised by histone deacetylase inhibitors (HDACi) (Chan 2013). A recent proof-of-concept clinical study with Friedreich’s ataxia demonstrated that FXN levels can be restored to normal levels using the class III HDACi nicotinamide at a dose that is well tolerated by patients (Libri 2014). Therefore restoration of FXN expression to normal levels might be expected to halt disease progression. Nicotinamide readily crosses the blood brain barrier and has previously been given at high doses for long periods to normal individuals without serious adverse effects (Gale 2004; Knip 2000). This study addresses this hypothesis in the form of a randomised double-blind placebo-controlled parallel group study for clinical efficacy. The primary endpoint is the stabilisation of the neurological condition compared to the control group using the scale for assessment and rating of ataxia (SARA) which has been validated by our previous natural history study for this condition (Reetz 2015 and 2016). Further measures will assess quality of life motor function and cognition cardiac function as well as brain alteration. This study will be the first to provide clinical evidence for the efficacy and safety of nicotinamide in patients with Friedreich’s ataxia. The tight collaboration over several years between UCL (Giunti) and Imperial (Festenstein) in part through the European Friedreichs Ataxia Consortium for Translational Studies (EFACTS) has been instrumental in developing this novel therapeutic approach. Importantly we have idenitfied patients by interrogating the extensive UCL-EFACTS database. The exploratory study which seeded the current application was greatly faciltated by the NIHR Imperial Clinical Research Facility (Libri).	National Institute for Health Research (Department of Health)	Full Grant	881218.0	GBP
2	Anthony Holder	MRC National Inst for Medical Research	None	1988-04-01	2015-03-31	Malaria parasite proteins and erythrocyte invasion	There is an urgent need to control malaria, which is caused by a parasite transmitted by mosquitoes. Our goal is to understand how this parasite multiplies in the human bloodstream, thereby causing the disease. The objectives are to understand erythrocyte invasion by the malaria parasite, focusing on the human parasite Plasmodium falciparum and the merozoite form that invades red blood cells. In particular the aims are (i) to define the role of a merozoite surface protein complex in invasion, and develop experimental vaccines based on these molecules, (ii) to investigate the importance of parasite organelle proteins in invasion, and (iii) to understand the molecular motor that drives the invasion process. The study of proteins on the merozoite surface has shown that a component of a multimolecular complex (largely formed by proteolytic processing of merozoite surface protein 1, MSP1) is the target of antibodies that prevent parasite invasion of erythrocytes, and this protein component is now one of the leading candidates for development as a vaccine against malaria. In collaboration with groups in Nigeria studies with human antibodies have reinforced this conclusion. Using a variety of methods, we have analysed the 3-dimensional structure of the protein and the fine specificity of the antibody reactivity, particularly those antibodies that inhibit invasion. This work has identified modified proteins that are more effective than the natural protein at inducing protective antibodies by immunisation, suggesting that they are particularly suitable for development into a malaria vaccine. Most recently we have shown the importance of the Fc region of the antibodies. Other polypeptides in the complex that are not derived from MSP1 are being characterised. One of them (MSP7) is tightly associated with MSP1 and we have examined its biosynthesis and maturation. In the apical organelles called rhoptries and micronemes, several sets of proteins have been investigated, using both human malaria and rodent malaria parasites. These proteins are ligands for receptor(s) on the surface of the host erythrocyte and are therefore directly involved in erythrocyte recognition and invasion. Another set of proteins is a quaternary complex of three large polypeptides. This rhoptry protein complex may also bind to red cells and could be involved after invasion in remodelling the red blood cell for the parasite to develop within. Recently we have shown that the expression of several of the genes coding for these proteins is under epigenetic control. Understanding the structure and function of these proteins may provide new targets to combat the malaria parasite. An unusual actomyosin motor located beneath the surface of the invasive form of the parasite drives it into the red cell. In collaboration with Justin Molloy and Claudia Veigel (Division of Physical Biochemistry) we are characterising the structure and function of this motor. We have already identified unusual features of the actin and shown that the motor is anchored in an inner membrane complex by a group of proteins of which one is acylated. We have identified inhibitors of one form of acylation. Inhibiting the function of the motor prevents invasion and therefore may be another point of attack using drugs to kill the parasite. The methods used include: analysis of parasite growth in vitro; analysis of protein biosynthetic pathways and function; application of expression systems to produce correct folded recombinant proteins for structural studies and to produce antibody reagents; immunochemical analysis of proteins; development of modified proteins as vaccine candidates; analysis of parasite genes and genome by cloning, sequence analysis and bioinformatic approaches.	Medical Research Council	Unit	None	None
3	Prof Richard Meehan	MRC National Inst for Medical Research	None	None	2015-03-31	Role of DNA methylation as a determinant of successful epigenetic reprogramming by nuclear transfer	None	Biotechnology and Biological Sciences Research Council	None	None	None
4	Professor Andrew Prentice	MRC Unit, The Gambia	None	2008-04-01	2018-01-31	Nutritional Genetics	Nutritional genetics covers research on the role of genetic variation on dietary responses as well as evolutionary aspects of nutritional regulation of gene expression. We employ genetic and epigenetic tools to explore critical pathways that underpin or modulate nutritionally-mediated health and disease outcomes. The key driver of the Nutritional Genetics theme within the ING is the need to provide mechanistic insights into the underlying processes. The Keneba Biobank, a repository of biological samples involving the whole of the rural population of West Kiang (N~12000), presents a resource and major platform for our genetic research. Due to its tight integration across the other ING areas of research, Nutritional Genetics is a cross-cutting theme; we concentrate on the following two sub-themes: 1) Genetics and epigenetics of growth and development. Over several decades our group has collected DNA, birth size and child growth records on individuals living in rural Gambia. This is being used to understand which genes affect growth trajectories employing multi-generational, cross-sectional and longitudinal study designs in combination with high-throughput genome-wide association study (GWAS) and ExomeSNPChip genotyping arrays. Our epigenetics studies test the hypothesis that differences in maternal nutritional status during the periconceptional period influences the establishment of epigenetic signatures in the next generation. Our results on pre-natal supplementation and seasonal differences in dietary intakes demonstrate that maternal nutritional status during early pregnancy causes persistent and systemic DNA methylation changes in their offspring postnatally. 2) Genetics of nutrition-mediated infection. Our past and ongoing research demonstrated that viral, bacterial and host genetic factors modulate iron homeostasis and hence the pathogenesis of infectious diseases. Our future work focuses on seeking to identify genetic variants that affect phenotype variations of iron absorption and metabolism in Gambians. Risk alleles associated with iron deficiency and anemia will be ascertained in a first stage and in a second stage their potential functional effects on phenotypic outcomes including infection will be evaluated.	Medical Research Council	Unit	None	None
5	Professor Douglas Higgs	University of Oxford	Weatherall Inst of Molecular Medicine	2010-04-20	2012-04-19	University Unit Award - MRC Molecular Haematology Unit	The MRC Molecular Haematology Unit pursues research in understanding the process by which multipotential haemopoietic stem cells become committed and differentiate into the highly specialised cells found in the peripheral blood (red cells, granulocytes, lymphocytes and platelets). The Unit is particularly interested in how the erythroid (red cell) and megakaryocytic (platelet) lineages are specified during embryonic, fetal and adult life. The approach is currently based on the premise that lineage commitment and differentiation during development is a reflection of the cell‘s transcriptional programme. In addition we are studying the genetic and epigenetic (methylation, chromatin modification, replication, nuclear position) mechanisms by which individual key genes (e.g. globin, GATA-1, GATA-2, SCL, RUNX1) are regulated during haemopoiesis. Finally, we are studying how these processes are perturbed in inherited and acquired human genetic diseases (e.g. thalassaemia, myelodysplasia and leukaemia).	Medical Research Council	Research Grant	1.073226E+7	GBP
6	Professor Douglas Higgs	University of Oxford	None	2012-04-01	2017-03-31	The regulation of globin gene expression during haematopoiesis	Now that DNA sequence is available for many mammalian genomes, recent studies have focused on genome-wide approaches to determine how the key elements are organized; how this relates to nuclear function (including DNA replication, recombination and repair, DNA transcription and RNA processing), and how these processes are influenced by interactions with epigenetic phenomena (nuclear position, timing of replication, chromatin modifications and DNA modifications by methylation and hydroxymethylation). In future we plan to use such approaches to analyse how genes are regulated during haematopoiesis and particularly in erythropoiesis. Valuable as this ‘big picture’ is, it is critical that the generalities it produces are assessed for their accuracy by examination of individual loci whose detailed structure and many natural variants have been determined, and whose function can be verified by experimental manipulation. The ? globin locus and the surrounding region is one of the best characterised segments of the genome (in mouse and human) and therefore is ideal for testing predictions from the genome-wide studies. Equally, we will continue to test predictions made about nuclear processes from detailed analysis of this region by genome-wide studies. The ultimate goal of this work is to develop new ways to modify gene expression during erythropoiesis with the aim of manipulating globin gene expression and ameliorating the clinical phenotypes of patients with thalassaemia.	Medical Research Council	Unit	None	None
7	Professor Douglas Higgs	University of Oxford	None	2017-04-01	2022-03-31	The regulation of globin gene expression during haematopoiesis	Now that DNA sequence is available for many mammalian genomes, recent studies have focused on genome-wide approaches to determine how the key elements are organized; how this relates to nuclear function (including DNA replication, recombination and repair, DNA transcription and RNA processing), and how these processes are influenced by interactions with epigenetic phenomena (nuclear position, timing of replication, chromatin modifications and DNA modifications by methylation and hydroxymethylation). In future we plan to use such approaches to analyse how genes are regulated during haematopoiesis and particularly in erythropoiesis. Valuable as this ‘big picture’ is, it is critical that the generalities it produces are assessed for their accuracy by examination of individual loci whose detailed structure and many natural variants have been determined, and whose function can be verified by experimental manipulation. The ? globin locus and the surrounding region is one of the best characterised segments of the genome (in mouse and human) and therefore is ideal for testing predictions from the genome-wide studies. Equally, we will continue to test predictions made about nuclear processes from detailed analysis of this region by genome-wide studies. The ultimate goal of this work is to develop new ways to modify gene expression during erythropoiesis with the aim of manipulating globin gene expression and ameliorating the clinical phenotypes of patients with thalassaemia.	Medical Research Council	Unit	3017000.0	GBP
8	Professor Adrian Thrasher	University College London	None	None	2022-03-31	UCOE-based lentiviral vectors for effective and safe gene therapy	Retroviral vectors have become a promising tool for treatment of life threatening inherited diseases as exemplified by successful clinical applications targeting haematopoietic stem cells (HSC). However, two major problems are limiting their further clinical application namely (i) the significant risk of insertional mutagenesis as evidenced by four patients with SCID-X1 treated with anMLV-based vector developing clonal T-cell lymphoproliferation and (ii) susceptibility to epigenetic-mediated reduction and variegation in expression. There is a major need for vectors incorporating enhancer-less regulatory elements with markedly reduced insertional mutagenesis potential that are capable of giving rise to reproducible and stable transgene expression irrespective of tissue type or site of integration. This proposal aims to address this urgent requirement by exploiting the recently described ubiquitously-acting chromatin opening element (UCOE). UCOEs consist of methylation-free CpG islands encompassing dual, divergently transcribed promoters of housekeeping genes and confer resistance to transcriptional silencing and produce consistent and stable transgene expression. We have recently shown that the UCOE from the CBX3-HNRPA2B1 locus (A2UCOE) drives reproducible, stable and therapeutically relevant levels of transgene expression from within lentiviral vectors (LVs), in HSC in mice in vivo. Furthermore, this is achieved in the absence of classical enhancer activity and may confer a high safety profile. We now seek further funding to complete our pre-clinical evaluation of the efficacy and safety of A2UCOE-LVs. We propose two complementary parallel strands of investigation: (1) comprehensive in vitro and in vivo molecular and cell biology analyses to assess the insertional mutagenesis potential of the A2UCOE and (2) to assess novel A2UCOE-driven transcription unit designs for improved safety and increased efficiency, efficacy and range of application.	Biotechnology and Biological Sciences Research Council	Standard grant	600447.0	GBP
9	Professor Cyrus Cooper	MRC Lifecourse Epidemiology Unit	None	2010-04-01	2013-04-30	Lifecourse Determinants of Bone and Joint Disease	Objectives: To (a) understand better the mechanisms which underlie the developmental origins of osteoporosis and other musculoskeletal disorders; and (b) develop intervention studies aimed at modifying later disease risk through nutritional and other interventions targeted at critical periods of development. Research proposals: The programme will address the developmental origins of osteoporotic fracture from molecule to population, using observational as well as interventional studies. Follow-up of participants in the Hertfordshire and Helsinki cohort studies will determine the growth trajectories of individuals at later risk of fracture, and explore the impact of these trajectories on bone size, geometry, mineral content, and volumetric density; the genetic contribution to these aspects of fracture risk will be studied through genome-wide screening as part of large international consortia. Further follow-up of children included in the Southampton Womens Survey will elucidate the parental influences on skeletal development during peri-conception, pregnancy and early postnatal life. Follow-up of these children through ages 6 and 8 years will extend our understanding of the relationship between maternal 25-hydroxyvitamin D status during pregnancy and childhood skeletal size, geometry and volumetric density. Our studies will permit exploration of interactions between prenatal and postnatal environmental influences such as physical activity (assessed using accelerometry), and diet (using questionnaires and biomarkers). Epigenetic mechanisms underlying the observed relationships between early environment and later bone health will be explored using samples of umbilical cord and placenta obtained from deliveries within SWS; DNA methylation status of key genes engaged in calcium transport, and maternal stress, will be related to childhood bone mass. A centrepiece of the programme will be the first randomised controlled trial to investigate whether supplementation of vitamin D during pregnancy serves to optimise skeletal development in the offspring (MAVIDOS). This aetiological trial will encompass sub-studies addressing intermediary outcome measures and the impact of vitamin D supplementation on other systems (body composition, immune function and respiratory development). Interventions to prevent osteoporotic fracture later in the lifecourse will be evaluated as part of the programme. Thus, in the MRC SCOOP trial, we test a novel methodology for risk stratification developed by the WHO in a large (n=11,500), pragmatic, randomised controlled trial. Finally, linkage with the NIHR Biomedical Research Unit in Musculoskeletal Science, University of Oxford, will permit development of a research theme addressing the lifecourse epidemiology of osteoarthritis; we shall study determinants of initiation and progression of this disorder, risk factors for arthroplasty failure, and the role of vitamin D in retarding the progression of OA. Impact: Musculoskeletal disorders have enormous health and economic impacts on society. Our research programme will permit the development of novel public health strategies to improve skeletal health throughout the lifecourse, and reduce osteoporotic fractures in future generations. Greater understanding of the epidemiology of osteoarthritis (the commonest joint disorder worldwide) will contribute to parallel strategies that reduce the incidence and morbidity associated with this disorder.	Medical Research Council	Unit	None	None
