0	Prof Dame Caroline Dean	John Innes Centre	None	None	None	Maintenance of cellular memory by the Arabidopsis VRN1 protein	Modifications of a cells chromatin landscape enable cells to memorize and maintain gene expression profiles throughout many cell-cycles during development. In animals and plants the Polycomb Repressive Complex 2 (PRC2) is involved in maintaining genes in an epigenetic 'off' state. In mammals and flies a second complex, PRC1, collaborates with PRC2 to maintain silencing. Interestingly, other organisms including worms and plants lack PRC1 and it remains elusive how they achieve stable silencing. In Arabidopsis the DNA-binding protein VRN1 is a potential candidate to fulfil such a role in silencing. During a cold-induced process called vernalization, the floral repressor gene FLC is epigenetically repressed and maintained inactive by a plant PRC2 and VRN1. Lack of VRN1 does not impair PRC2 function but seems to act downstream or in parallel of PRC2, a situation analogous to animal PRC1. Moreover, as found for mammalian PRC1, VRN1 interacts with a component of the spliceosome complex, implying RNA processing in Polycomb silencing. The above findings suggest that VRN1, despite its lack of homology with PRC1 components, functions in the stable maintenance of PRC2 mediated silencing. My aim is to establish a solid foundation for a mechanistic understanding of VRN1 mediated gene silencing using vernalization as a model. In-depth VRN1 protein-complex analysis will be complemented by chromatin and RNA immuno-precipitations (ChIP and RIP) as well as theoretical modelling of the vernalization process. Besides addressing a long-standing question in plant epigenetics, collected data will allow comparison with the situation in non-plant systems to develop a mechanistic consensus model on maintenance of gene silencing in different kingdoms. Notably, for both plants and humans, fundamental knowledge of epigenetics will facilitate the modulation of gene expression to; increase yield and disease resistance in crops and develop treatments for diseases, such as cancer, in humans.	Biotechnology and Biological Sciences Research Council	Institute CSG	104349.0	GBP
1	Professor Gideon Davies	University of York	None	2013-05-01	2018-05-01	Glycosylation: Programmes for Observation, Inhibition and Structure-based Exploitation of key carbohydrate-active enzymes	The development of new approaches to dissect the diverse roles for carbohydrates in living cells is a major challenge for modern cell biology. The huge diversity of carbohydrates is reflected in a multiplicity of function; in addition to acting as energy sources, carbohydrates play major roles in structure, signalling and epigenetics. The work programme will build upon the applicant's excellence in the mechanistic and structural enzymology of carbohydrate-active enzymes to tackle the key challenges of modern cellular glycobiology. Our vision is to provide fundamental structural and mechanistic-dissection of key proteins and their complexes and to use these as the foundation to deliver enzyme inhibitors as tools to probe the cellular function of specific glycans. The programme's three strands will each scale a major pinnacle of carbohydrate biochemistry. Strand 1 will focus on mammalian glycosidases involved in glycocerebroside metabolism and genetic disease. We will unlock new 3-D information for glycocerebrosidase 2 (GBA2) and use these together with GBA1 to design and exploit novel and specific enzyme inhibitors as mechanistic and cellular probes, novel chaperones and imaging agents. Strand 2 will focus on the key endoplasmic reticulum enzyme endomannosidase, both its mechanistic novelty and its exploitation to perturb cellular glycans to unlock its biological roles and deliver compounds for anti-viral therapeutics. Strand 3 will probe the modification and elaboration of specific human N-glycans and their role in cell surface receptor biology. It will focus on the GlcNAc transferase V catalysed formation of polylactosamine epitopes and their regulation of growth factor signalling at the cell surface both in health and cancerous tissues. GlycoPOISE will both answer cardinal structural and chemical mechanistic questions in the enzymology of glycobiology and inform strategies for the observation and inhibition of carbohydrate-active enzymes and their exploitation	European Research Council	Advanced Grant	2500000.0	EUR
2	Professor Adrian Whitehouse	University of Leeds	None	2015-09-01	2018-08-31	Viral control of the m6A methylome	m6A methylation is a common base modification present in eukaryotic mRNA. However, its biological significance is still poorly understood. Recent technological advances have shown that m6A methylation occurs in >7000 transcripts and has also led to the identification of enzymes which make this RNA modification dynamic and reversible. As such, reversible m6A methylation may have critical roles in gene regulation analogous to dynamically regulated DNA and protein modifications. Thus, dynamically reversible RNA modifications, such as m6A methylation, represent an emerging layer of gene regulation at the RNA level, termed RNA epigenetics or epitranscriptomics. We have exciting preliminary data to suggest Kaposi's sarcoma-associated herpesvirus (KSHV) manipulates pathways which regulate m6A methylation. As such, this provides an excellent model to study the fundamental regulatory aspects of m6A methylation at an RNA epigenetic level. Our preliminary data shows that the KSHV ORF57 protein redistributes the recently identified RNA m6A demethylase, human fat mass and obesity (FTO)-associated protein, from nuclear speckles into the nucleolus. Moreover, this redistribution results in alterations within the m6A methylation status of viral and cellular mRNAs. Specifically, FTO redistribution dramatically reverses viral mRNA m6A methylation while increasing cellular mRNA m6A methylation status. The aim of this project is to determine what implications virus-mediated FTO redistribution and manipulation of the m6A methylation pathway has upon cellular and viral m6A methylomes. We will examine what effect altering the m6A methylation status has upon the fate and function of viral and cellular mRNAs. In addition, we will test the requirement of FTO redistribution and alterations in the m6A methylome for virus replication and assess the therapeutic potential of inhibiting this virus-based manipulation of the m6A methylation pathway as a novel antiviral strategy.	Biotechnology and Biological Sciences Research Council	Research Grant	438976.0	GBP
3	Professor Anne Ferguson-Smith	University of Cambridge	Genetics	2018-05-01	2023-04-30	Genomic imprinting and the epigenetic control of developmental processes	Genomic imprinting is a mammalian epigenetically regulated process causing genes to be expressed mono-allelically according to their parental origin. Genetic studies have shown that genomic imprinting occurs at dosage-sensitive genes regulating important developmental processes. In human, altered imprinted gene expression is associated with growth, metabolic and neurological disorders, and cancer. Over the past 30 years, genomic imprinting has emerged as a paradigm contributing to our understanding of the roles of epigenetic modifications in the regulation of gene activity and repression, and to mechanisms underlying the epigenetic control of genome function in pathways important for development, health and disease. In this application we propose a series of experiments addressing three key important biomedically relevant topics concerning the regulation, function and evolution of genomic imprinting. These studies are designed not only to better understand imprinting in development and disease, but also to generate more widespread functional and regulatory insights into the epigenetic control of transcriptional dosage, and its impact on normal and abnormal phenotypes. Our three main aims are: 1 - To understand the extent and implications of parental-origin specific allelic bias. 2 - To further study one of the most biomedically relevant imprinted genes, Dlk1, and the previously uncharacterised non-imprinted Dlk2 gene from whence it arose, to assess the regulation, function and evolution of these remarkable paralogues in mammals using neurogenesis as a paradigm. 3 - To determine whether canonical imprinting, an essential mammalian regulator of nutritional resources, plays a role in the mammary gland - a key site of postnatal maternal-offspring interactions important for lifelong offspring health.	Medical Research Council	Research Grant	1838782.0	GBP
4	Prof Wolf Reik	Babraham Institute	Chromatin and Gene Expression	2009-10-01	2013-09-30	Next Generation Sequencing High Throughput Epigenomics	Development is the result of changes in gene expression programmes that give rise to different organs and tissues. With few exceptions, these changes occur without changes to DNA sequence. Changes in epigenetic modifications such as DNA methylation, histone modifications, histone variant deposition and the presence of non-nucleosomal chromatin-associated proteins are strongly linked to the transitions from totipotent to pluripotent stem cells, and precursor cells to fully differentiated somatic cells. Little is known about these interlaced systems work and interact. In this Collaboration Grant we propose to bring together a pre-eminent group of UK scientists working on epigenetics and chromatin during development. Our current funded research programmes are aimed at various and extensive epigenetic analyses of diverse ?developmental? cell-types; including primordial germ cells, developing oocytes, ES cells, blastocysts, TS cells, placenta, fetal liver and adult tissues. Presently these analyses are to be performed with real-time PCR, Sequenom massarray, or microarray based profiling, etc. Each of these techniques is limiting, either in terms of the number of samples or datapoints that can be assessed (PCR and Sequenom) or in the quality and quantitative value of data returned (array techniques). Rather than simply focussing on own little parts of the genome we propose to collaborate in the establishment of a new facility, to take advantage of improvements in DNA sequencing technology to create a database of genome-wide datasets representing an epigenetic time course through development. With the aid of an Illumina Genome Analyzer II (Solexa) massively parallel sequencing system we will generate genome-wide datasets for each experiment, rather than a tiny fragment of the genome. This will allow us to investigate the specific questions outlined in our present research programmes, while at the same time dramatically increasing the output and quality of each experiment. The data from each of the applicants will be deposited in a searchable database curated by the proposed postdoc. The net effect will be to create a programme that is substantially larger, more encompassing and providing much greater insight than the sum of the previous constituent parts. This collaborative database will foster interaction and sharing of expertise between applicants as well as create a shared resource for collaborative publications that would not have been possible without this grant.	Medical Research Council	Research Grant	777701.0	GBP
5	Professor Andrew Prentice	MRC Unit, The Gambia	None	2008-04-01	2018-01-31	Nutritional Genetics	Nutritional genetics covers research on the role of genetic variation on dietary responses as well as evolutionary aspects of nutritional regulation of gene expression. We employ genetic and epigenetic tools to explore critical pathways that underpin or modulate nutritionally-mediated health and disease outcomes. The key driver of the Nutritional Genetics theme within the ING is the need to provide mechanistic insights into the underlying processes. The Keneba Biobank, a repository of biological samples involving the whole of the rural population of West Kiang (N~12000), presents a resource and major platform for our genetic research. Due to its tight integration across the other ING areas of research, Nutritional Genetics is a cross-cutting theme; we concentrate on the following two sub-themes: 1) Genetics and epigenetics of growth and development. Over several decades our group has collected DNA, birth size and child growth records on individuals living in rural Gambia. This is being used to understand which genes affect growth trajectories employing multi-generational, cross-sectional and longitudinal study designs in combination with high-throughput genome-wide association study (GWAS) and ExomeSNPChip genotyping arrays. Our epigenetics studies test the hypothesis that differences in maternal nutritional status during the periconceptional period influences the establishment of epigenetic signatures in the next generation. Our results on pre-natal supplementation and seasonal differences in dietary intakes demonstrate that maternal nutritional status during early pregnancy causes persistent and systemic DNA methylation changes in their offspring postnatally. 2) Genetics of nutrition-mediated infection. Our past and ongoing research demonstrated that viral, bacterial and host genetic factors modulate iron homeostasis and hence the pathogenesis of infectious diseases. Our future work focuses on seeking to identify genetic variants that affect phenotype variations of iron absorption and metabolism in Gambians. Risk alleles associated with iron deficiency and anemia will be ascertained in a first stage and in a second stage their potential functional effects on phenotypic outcomes including infection will be evaluated.	Medical Research Council	Unit	None	None
6	Prof Richard Meehan	University of Edinburgh	None	2011-10-01	2018-03-31	Epigenetics and Development	Epigenetics describes the variation of gene expression that is not due to changes in the DNA sequence. It is an important process during animal early development for setting up and maintaining stable patterns of gene transcription in adult tissues. In essence it describes how modification of chromatin or DNA regulates a genes activity.||Our main interest is determining the interplay between chromatin and DNA based silencing mechanisms in maintaining gene silencing during early animal development? We have made some exciting discoveries establishing the importance of epigenetic regulators in determining the onset of transcription during early development in amphibians, and how mis-regulation of these processes may lead to apoptosis and subsequent alterations in cellular identity and development.||The maintenance cytosine methyltransferase, xDnmt1, is responsible for maintaining high levels of DNA methylation in development. We have shown that it also acts as a direct transcription repressor protein, independently of its catalytic function, in early embryos. In addition we have identified a potential pathway though which loss of xDnmt1 function results in direct activation of a cell death pathway.||We believe our findings have important implications for the molecular basis of diverse human diseases in which epigenetic regulation is altered and potentially an understanding of the nature of cellular potency (stem cells). Our work may also contribute to the development of safe health care applications such as small molecule inhibitors of Dnmt1 function.	Medical Research Council	Unit	None	None
7	Prof Richard Meehan	Mrc Human Genetics Unit	None	2003-04-01	2011-09-30	Epigenetics and Development	Epigenetics describes the variation of gene expression that is not due to changes in the DNA sequence. It is an important process during animal early development for setting up and maintaining stable patterns of gene transcription in adult tissues. In essence it describes how modification of chromatin or DNA regulates a genes activity.||Our main interest is determining the interplay between chromatin and DNA based silencing mechanisms in maintaining gene silencing during early animal development? We have made some exciting discoveries establishing the importance of epigenetic regulators in determining the onset of transcription during early development in amphibians, and how mis-regulation of these processes may lead to apoptosis and subsequent alterations in cellular identity and development.||The maintenance cytosine methyltransferase, xDnmt1, is responsible for maintaining high levels of DNA methylation in development. We have shown that it also acts as a direct transcription repressor protein, independently of its catalytic function, in early embryos. In addition we have identified a potential pathway though which loss of xDnmt1 function results in direct activation of a cell death pathway.||We believe our findings have important implications for the molecular basis of diverse human diseases in which epigenetic regulation is altered and potentially an understanding of the nature of cellular potency (stem cells). Our work may also contribute to the development of safe health care applications such as small molecule inhibitors of Dnmt1 function.	Medical Research Council	Unit	None	None
8	Professor Richard Festenstein	Imperial College London	Unlisted	2002-08-23	2007-08-22	Molecular Epigenetics	None	Medical Research Council	Research Grant	3442.0	GBP
9	Professor Richard Festenstein	MRC London Institute of Medical Sciences	None	2009-04-07	2012-04-06	Applying epigenetic modifying drugs to treat Friedreich's Ataxia	We have recently shown that the GAA-triplet-repeat that pathologically expands and silences the frataxin (FXN) gene in the commonest autosomal recessive ataxia, Friedreich's Ataxia (FRDA), mediates transgene silencing in a manner reminiscent of chromatin-mediated silencing (Saveliev et al., 2003). This has led to the development of HDAC inhibitors (HDACis) which can upregulate frataxin (Festenstein, 2006; Herman et al., 2006) and are therefore potential treatments for this, as yet, untreatable and devastating condition. This proposal is to take forward a particular HDACi, known as compound z (due to patent restrictions), which we have found to be effective in up-regulating frataxin greater than 2-fold in lymphoblastoid cell lines and primary cells from patients with FRDA. Direct comparison with the HDACi, 4b, shows it to be more effective and it is certainly less toxic. As compound z has already been shown to have an excellent safety profile in humans and to cross the blood brain barrier, it has clear potential as a therapy for FRDA. We will now investigate its effects in humanised mouse models of FRDA. Thus, we will treat mice with the inhibitor and analyse the tissues that are characteristically affected by FRDA, such studies are clearly not possible in humans. Tissues will be analysed for FXN expression, FXN chromatin structure and for pathological changes. The mice will also be crossed to epigenetic-modifier mice to further dissect the mechanism of silencing and mechanism of action of this and other potential novel treatments at the chromatin/transcriptional level. FRDA can therefore be seen as a prototypic disease in which gene-silencing is the cause. We are well-placed to undertake this study as all the necessary techniques are already well established in the lab. Moreover, the CSC has a critical mass of researchers interested in epigenetics making this an ideal environment to pursue these studies. Compound z has a real possibility to become a treatment for FRDA, this study will go a long way to developing this potential.	Medical Research Council	Research Grant	372376.0	GBP
