0	Professor Robert Brown	Imperial College London	None	2006-10-01	2011-12-31	Pharmacodynamics and Drug Resistance	Drug resistance is a major obstacle in the treatment of cancer. Identification of clinically relevant drug resistance mechanisms provides the opportunity for rational approaches to overcome drug resistance and identify patients who may benefit from treatment. Loss of DNA mismatch repair (MMR) and aberrant gene silencing due to DNA methylation are clinically relevant mechanisms of drug resistance. Approaches to target or overcome drug resistance and novel epigenetic therapies are now undergoing preclinical and clinical evaluation. Aims 1. Chemical genetic approaches to identify novel agents that target cells that have acquired a drug resistant phenotype . We will further characterise small molecules which target MMR deficient cells or reverse epigenetic silencing. We also propose to identify novel molecules which target structural changes in chromatin. 2. Molecular pharmacodynamics in preclinical and clinical trials of novel therapies. We will develop biomarker assays as biological objectives in early clinical trials of epigenetic therapies and new agents entering preclinical and Phase I study. 3. Epigenomic profiling to identify novel drug resistance mechanisms and prognostic biomarkers, particularly in ovarian and lung cancer. We will examine methylation of candidate loci whose function may predict effects on chemosensitivity. We will use global methylation profiling using microarrays to identify novel genes involved in drug resistance.	Cancer Research UK	Programme Award	None	None
1	Professor Diana Kuh	Mrc Unit For Lifelong Health And Ageing	None	2008-04-01	2013-07-31	Enhancing the MRC National Survey of Health and Development as an interdisciplinary life course study of ageing	The MRC National Survey of Health and Development (NSHD) is the oldest of the British birth cohorts, and is unique in having data from birth to age 66 years on the health and social circumstances of a representative sample (N=5,362) of those born in England, Wales and Scotland in March 1946 (www.nshd.mrc.ac.uk). Enhancing NSHD is the core programme of the MRC Unit for Lifelong Health and Ageing, and combines a research and a resource function. The resource function is to curate, enrich and share the NSHD resource, on which all Unit programmes and research collaborations depend. In the last five years, we have completed the 23rd follow-up, a pioneering clinic data collection, with a high response rate, developed data sharing policies and web-based data sharing tools, raised the international and national profile of the study through the NSHD 65th birthday events, and enhanced NSHD through new biomarker and genetic data. A critical mass of biomedical and social scientists undertakes collaborative projects; since 2007, NSHD data has been shared with 211 scientists from 49 research institutions. The research function is to foster integrative research across the Unit programmes and with external collaborators, and to build capacity in life course epidemiology and ageing research. Ongoing studies include: the lifetime determinants of kidney function, thyroid function, and healthy ageing; the long-term health effects of exposure to air pollution; dietary studies; and genetic studies. Much of this work involves comparative research across cohorts. For example, LHA leads the Healthy Ageing across the Life Course (HALCyon) research programme which brings an interdisciplinary group of researchers to study life course determinants of three aspects of healthy ageing across nine UK cohort studies: physical and cognitive capability, social and psychological wellbeing and underlying biology, including aspects of physiology and genetics. More details can be found on www.halcyon.ac.uk. The two main research themes for NSHD in the next five years are: (1) healthy ageing and the management of health and health care needs as the cohort grows older, and how these are influenced by earlier life experiences; and (2) the biology of ageing, linking epidemiology and mechanistic science in this cohort study. The latter includes planned metabolomic and epigenomic projects, and a new research collaboration on the ageing lung. We also plan to extend HALCyon cross cohort research activities, data harmonisation and data sharing through our role in the new ESRC/MRC Cohort Resource Facility and through international collaborations.	Medical Research Council	Unit	None	None
2	Professor Diana Kuh	Mrc Unit For Lifelong Health And Ageing	None	2008-04-01	2013-07-31	Life course determinants of physical capability and musculoskeletal ageing	Maintaining physical capability (the capacity to undertake the physical activities of daily living) and musculoskeletal function for the maximal period of time as we grow older are important aspects of healthy ageing, enabling people to be active and independent for longer. Low levels or accelerated loss of capability or musculoskeletal function pose threats to independence and quality of life, are major causes of frailty, disability and death, and impact greatly on health care spending. The ultimate purpose of this programme is to provide evidence to inform the likely timing, intensity and type of future interventions to promote healthy ageing or delay functional decline. This programme takes a life course approach, investigating biological and social factors from early life that influence later life physical capability and musculoskeletal ageing in population cohorts, in particular in the MRC National Survey of Health and Development (NSHD), a birth cohort study with information on health and life circumstances from 0-65 years. Studies in NSHD and other cohorts have provided evidence that childhood socioeconomic conditions, physical growth and maturation, and motor and cognitive development affect objective measures of midlife capability, such as grip strength, standing balance and chair rise performance, in addition to the cumulative effects of adult health behaviours and socioeconomic conditions. In the next five years, this programme will capture the change in physical capability and progression to disability and frailty during the transition from midlife to old age in NSHD; and will investigate the lifetime factors (from societal to underlying biology) that drive these changes, and their consequences, for everyday life. Of particular interest for improving human health are the factors that promote the maintenance of maximal functioning, or modify the consequences of functional decline for everyday activities and social integration. Using new data recently collected or planned, this programme also aims to understand better how factors across life affect bone, muscle and joints in later life and their clinical correlates, osteoporosis and fracture risk, sarcopenia and osteoarthritis. With specialist collaborators we also aim to elucidate underlying biological mechanisms, capitalising on new genomic, epigenomic and metabolomic data in NSHD. This programme addresses the MRC strategic research priority for 2009-14 to improve the chances of living a long and healthy life by driving forward interdisciplinary research addressing health and wellbeing from childhood to older age.	Medical Research Council	Unit	None	None
3	Professor Peter Cook	University of Oxford	None	2010-05-01	2013-04-30	System Biological Determination of the Epigenomic Structure-Function Relation: EpiGenSys	Our genetic information is stored in the base sequence encoded by our DNA, and the DNA molecules that run the length of each human chromosome are arguably the longest and most important biomolecules known. But although we now know their DNA sequences, we still know almost nothing about how that DNA is folded in 3-D space in the nucleus of a living cell. As a result, the relation of the 3-D dynamic architecture with function - the storage and expression of genetic information - remains one of the central unresolved issues of our time. The human genome encodes information in: i) the famous DNA double helix, ii) which winds around a protein complex (the nucleosome), iii) and condenses into a higher- order 'chromatin' fiber, iv) that is folded into loops, v) which aggregate in turn into chromosomal subdomains, vi) that form 'territories', vii) which are arranged in a complex way in the nucleus. Modifications affecting function are found at all these levels. Therefore, we have established an unique consortium of European scientists (EpiGenSys") with the aim of achieving understanding the relation between the DNA sequence, 3-D folding, and the way the system is able to access and read ('transcribe') the information. Using a truly inter-disciplinary approach, we plan to integrate the following set of projects: i) The investigation of the dynamic structure locally at the level of the nucleosome and globally at the level of the fiber. ii) The determination of intra/inter chromosomal interactions and the organization of territories. iii) The analysis of the genetic readouts - the transcriptional states - and their relation to the underlying structure. iv) The simulation (using super-computers) of the structure at the level of nucleosomes, fibers, and whole chromosomes. v) The integration of i) to iv) into a mathematical model of the whole system. PR Cook will be involved in projects ii), iii) and iv)."	Biotechnology and Biological Sciences Research Council	Small Grants	377522.0	GBP
4	Prof Wolf Reik	Babraham Institute	None	2010-03-01	2013-02-28	New epigenetic reprogramming factors: functional testing in ES and iPS cells and development of small molecule modulators	In this application, in full collaboration with the company CellCentric, we propose (1) to fully annotate lists of candidate reprogramming factors that emerge from four screens that we are in the process of completing, including epigenomics, E coli genetic, in vitro compartmentalisation (IVC), and mammalian screens (2) to carry out functional testing of a select number of candidates in ES cells in a stable shRNA knockdown system that we have established, including the assessment of self-renewal, differentiation potential, and reprogramming capacity (3) to test specific candidates in an iPS system for their reprogramming ability, including in a system that is sensitised by specific Yamanaka factors or epigenetic drugs (4) to develop small molecule modulators for at least two key factor to use as a pharmacological tool in developmental biology, in ES and iPS cells, and finally (5) to test the function of specific candidates in vivo in germ cells and early embryos, by conditional knockouts and genome-scale epigenomic profiling by Next Generation Sequencing, especially in small numbers of cells. This integrated programme of work will identify novel reprogramming factors whose functions will shed new light on the biology of the reprogramming process and improve the generation of iPS cells. Overall, this project will contribute to our understanding of the healthy ageing process and provide new avenues for regenerative medicine and the pharmaceutical industry.	Biotechnology and Biological Sciences Research Council	LINK project	433265.0	GBP
5	Dr. Matthias LECHNER	University College London	None	2011-01-01	2013-12-31	Epigenomic Analysis of HPV positive and HPV negative Head and Neck Squamous Cell Cancer (HNSCC).	Head and Neck Squamous Cell Cancer (HNSCC) is the sixth most common cancer worldwide. A proportion of these cancers are caused by human papilloma virus and patients being diagnosed with this subtype have a significantly better outcome. The reasons and underlying mechanisms for this are not fully understood. The aim of this project is to carry out comprehensive methylome and microRNA analysis and validation of HPV-associated HNSCC samples. Furthermore, both HPV infected and non-HPV infected cell lines will be studied to obtain microRNA-mRNA interaction maps. These multidimensional data will be integrated and linked to publicly available gene expression data of HPV positive and HPV negative head and neck cancer to identify pathways dysregulated by HPV infection. Determination of the molecular changes occurring specific to viral infection will significantly increase our understanding of virus-induced tumourigenesis and of head and neck carcinogenesis in particular. This will guide the i dentification of molecular markers for risk prediction and early diagnosis. Moreover, the reversible nature of epigenetic aberrations has led to the emergence of the promising field of epigenetic therapy and our understanding of these changes may lead to the development of novel therapeutic targets for this specific subtype of cancer.	Wellcome Trust	Research Training Fellowship	205225.0	GBP
6	Professor Jeremy Day	University of Oxford	None	2013-01-01	2017-12-31	Population structure and pathogenicity of C. neoformans in Vietnam.	Most cryptococcal meningitis occurs in patients with underlying immune deficit. Occasionally, disease occurs in immunocompetent patients. Using AFLP and MLST, we have made the novel finding of a genotype of C. neoformans var. grubii, VNIgamma, that causes 92% of disease in the immunocompetent but only 35% in HIV patients. Genotypes do not segregate by HIV risk group, gender, or temporally, suggesting the novel type has increased pathogenicity. This hypothesis drives the fellowship. Pathogenicity is likely a function of adaptation of this saprophytic organism to the environment. Genomic and epigenomic factors are implicated. I will sample the environment to define the diversity of the Vietnamese C. neoformans population and create a multilayered map in order to determine whether there is spatial clustering, and to identify the niche that VNIgamma occupies. I will use a macrophage model to determine the variability of pathogenicity within and between genotypes. I will use comparativ e genomics and RNAseq to test the validity of previously defined virulence factors and to define novel genetic and transcriptional differences that determine pathogenesis in the rabbit model of meningitis. These findings will be prospectively tested using RT-PCR in cerebrospinal fluid samples from human HIV infected and uninfected patients with cryptococcal meningitis.	Wellcome Trust	Intermediate Clinical Fellowship	1443852.0	GBP
7	Prof Stephan Beck	University College London	None	2012-10-01	2015-12-31	A centralized platform for validation of genomic and epigenomic targets from clinical and non-clinical studies.	Over 1000 associations have recently been identified in over 100 traits and common human diseases using GWAS/EWAS. To further advance this research towards identification of the underlying causal variations for therapeutic targeting, requires follow-up on several levels. In the first instance, the identified associations need to be validated, ideally by an independent method and in additional samples. Secondly, the haplotypes, hepitypes and other genomic intervals in which the associations were found need to be further analysed for functional variations in as many samples as possible. The main objective, therefore, is to establish a centralized high-throughput facility for validation and targeted functional analysis that is directly compatible with next-generation sequencing, the method of choice for downstream processes. We believe that the requested equipment from RainDance Technologies satisfies all the technical requirements for accuracy, sensitivity and specificity. It also curre ntly offers best value with respect to throughput, flexibility and future integration with GCLP settings which is a requirement for clinical and future personalized medicine programmes. Under the guidance of the lead applicant, the experienced UCL Core Facility (UCL Genomics) will operate and maintain the equipment ensuring fair access to the 20 named co-applicants and collaborators and beyond if capacity allows.	Wellcome Trust	Multi-User Equipment Grant	352437.0	GBP
8	Professor Boris Lenhard	MRC London Institute of Medical Sciences	None	2011-11-01	2100-12-31	Computational Regulatory Genomics	The central interests of the Computational Regulatory Genomics group are genomics and epigenomics of gene regulation in higher eukaryotes. We discovered several fundamental features of genes under developmental regulation and established the link between the type of core promoter and its responsiveness to long-range regulation, and developed a number of widely used computational methods and data resources for studying the regulatory content of genomes. Our current aim is to understand the molecular and mechanistic basis for different modes of gene regulation associated with the control of cell cycle, multicellular processes and regulation in terminally differentiated cells. In addition to our models of long-range regulation, the newly available epigenomic data contains crucial information for distinguishing these modes in development, differentiation and disease. Our core research program is to identify the features of genes under different modesand regimes of gene regulation. Different genes have regulatory territories that vastly differ in size, are often nested, and exhibit distinct patterns of epigenetic modifications, or succession of such patterns. By investigating genomic regulatory territories, we want to establish sequence features and epigenomic patterns and sequence features associated with different modes of gene regulation. We want to find out which properties of genes, are responsible for the correct sorting and assignment of inputs in complex, nonlinear gene loci. Among the most exciting hypotheses we are currently investigating are the fundamentally different modes of regulation of genes in dividing vs non-dividing, terminally differentiated cells, and time-sharing of core promoters. We plan to investigate how complex input from the cell environment is interpreted by megabase-sized cis-regulatory arrays of these genes to result in tightly coordinated development of complex multicellular structures. Our primary focus is biological insight. Nonetheless, we develop reusable methods for our analysis, to be shared by the community. This has proven to be a highly productive approach for subsequent analyses. In the forthcoming period our method development will focus on i) Transcription factor binding and transcription factor complexes: We are developing a computational toolbox for the analysis and visualisation of large sets of transcription factor binding sites and other regulatory elements and their integration with other types of genome-wide data; ii) Computational methodology for comparative epigenomics – The next several years will witness the rise of the need to analyse hundreds or thousands of epigenomes simultaneously - across tissues, time courses, epidemiological cohorts or different species. Computational capacity expertise and tools for the analysis of this scale are currently largely unavailable. Building on and inspired by methods for the segmentation of epigenomic regions, we plan to build methods for the characterisation of individual regulatory elements and their ensembles around genes under complex regulation.	Medical Research Council	Unit	None	None
9	Professor Mark McCarthy	University of Oxford	RDM OCDEM	2012-10-01	2015-08-31	KLF14, adipose dysfunction, insulin resistance and type 2 diabetes: from genetic discovery to biological mechanisms and translation.	This major objective of this proposal is to define the molecular, cellular and physiological mechanisms responsible for the association between variants upstream of KLF14 and type 2 diabetes. Our recent work has demonstrated that KLF14 is a master regulator of expression in adipose tissue, and implicate this KLF14-regulated transcriptional network in the genesis of insulin resistance in remote tissues such as muscle and liver. The research will seek to understand the causes and consequences of altered KLF14 expression using a variety of complementary approaches that include: (a) human genetics: resequencing, fine-mapping and epigenomic analyses; (b) integrative physiology: detailed metabolic analyses and genomic studies and their relationship to genotype; and (c) cellular studies: cellular phenotyping and genomic studies in adipocytes following knockdown and overexpression of KLF14 and selected trans-genes. The work has four main aims: (a) To characterise the molecular, cellular and physiological consequences of altered KLF14 expression; (b) To identify the trans-genes mediating the effect of KLF14 on insulin resistance and type 2 diabetes; (c) To define the cellular and physiological mechanisms whereby altered KLF14 expression in adipose tissue leads to generalised insulin resistance and T2D; (d) To characterise the mechanisms whereby common variants upstream of KLF14 influence KLF14 expression. Our research will, by elucidating the mechanisms linking KLF14 sequence variation to diabetes predisposition, provide valuable, generic, insights into the consequences of adipocyte dysfunction on whole-body physiology. The research can be expected to define novel, causally-validated, targets that are substrates for therapeutic and biomarker development, and the application sets out some of the strategies that we plan to deploy to support those translational goals.	Medical Research Council	Research Grant	605221.0	GBP
