0	Dr Florian Hollfelder	University of Cambridge	None	None	None	Probing histone acetyl transferase function by directed evolution	The modification of chromatin structure (e.g. by acetylation) of the histone `tails plays a central role in transcriptional regulation. Currently the dissection of the roles of individual modified histone lysine residues is limited by low activity and/or specificities of isolated/recombinant histone acetyl transferases (HATs). We propose to combine directed evolution with biochemical and in vivo assays to understand the functional consequences of modifying specific lysine residues. Initially, we will use natural HATs (EsaI and MOF) as starting points to evolve novel HATs that have enhanced activities and altered specificities to probe biological function.	Biotechnology and Biological Sciences Research Council	None	201956.0	GBP
1	Professor Jenkins	University of Glasgow	None	None	None	The UVR8 UV-B-specific signalling pathway	UV-B wavelengths (280-320 nm) induce physiological responses in plants, but very little is known about the processes of UV-B perception and signal transduction. We have recently discovered that the Arabidopsis protein UVR8 is a UV-B- specific signalling component that mediates a range of gene expression responses involved in secondary metabolism, anti- oxidant defence and UV-protection and have shown that UVR8 associates with chromatin to regulate the expression of a key target gene, encoding the transcription factor HY5. In addition, we have found that UV-B stimulates the rapid nuclear translocation of UVR8. The first objectives of this project are to define sequences in the N-terminal region of UVR8 that are involved in nuclear translocation and to identify proteins that mediate this process. Second, we will define sequences in the C-terminal region of UVR8 required for function in transcriptional regulation and identify proteins that act with UVR8 in this process. Finally we will start to map sites of UVR8 interaction and UV-B-induced histone modification in the HY5 genomic region.	Biotechnology and Biological Sciences Research Council	Standard grant	420303.0	GBP
2	Professor Dickinson	University of Oxford	None	None	None	Do differentially regulated regions (DMRs) control imprinting of the maize fie1 and fie2 genes?	Important aspects of endosperm development are regulated by imprinting. Work in the applicant's lab on maize has demonstrated that for a key gene pair (fie1 and fie2; duplicated versions of the Arabidopsis FIE sequence) belonging to the Polycomb Group (Pc-G), imprinting is regulated through 5' differentially methylated regions (DMRs) similar to those found in mammals. Surprisingly the paternal (silenced) copy of fie1 is methylated in the male gamete, while the male version of fie2 only becomes methylated in the primary endosperm cell after fertilisation. The two fie genes thus appear to be differently regulated. In mammals DMRs represent only a single component of a number of complex imprinting pathways, which involve histone modifications, Pc- G complexes, inhibitory proteins and non-coding RNAs. While the picture for plants appears simpler, the fact that the paternal allele of the fie2 sequence is methylated after fertilisation strongly indicates that the DMR is somehow marked in the gamete. In animals DMRs are generally marked by histone modification and also the binding of Pc-G proteins. Such changes also occur in plant chromatin but their significance in imprinting is unknown. Importantly, recent data suggest that Pc-G proteins self-regulate, and thereby control key aspects of imprinting. We shall first investigate the necessity of DMR methylation for imprinting by monitoring allele-specific methylation and expression of 'imprinted' fie reporter constructs in genetic backgrounds defective either in methlation and histone modification, Then, using RNAi to knock down key methylation and histone methylases in the primary endosperm cell, we shall explore the nature and function of any non-methyl marks on the fie2 and fie2 DMRs. Finally, using a downscaled ChIP protocol, we shall (i) identify histone modifications associated with these DMRs, and (ii) explore the putative autoregulatory roles of Pc-G proteins.	Biotechnology and Biological Sciences Research Council	Standard grant	442262.0	GBP
3	Professor Bryan Turner	University of Birmingham	None	2008-10-01	2012-03-31	Epigenetic mechanisms in development and cancer	The histones of the nucleosome core particle are subject to various enzyme-catalyzed modifications, mostly to their N-terminal tails. These modifications, directly or indirectly, alter DNA packaging and can thereby regulate gene expression. The enzymes that modify histones can be activated or inhibited by metabolic and environmental variables. Some depend on common metabolites such as NAD, while others are inhibited by common environmental or dietary components, such as short chain fatty acids. The nucleosome is a sensor through which environmental and metabolic changes influence genomic function. In the present research we ask whether environmentally-induced changes in histone modification can induce long-term, heritable changes in patterns of gene expression. Cancer is known to be induced by a variety of environmental toxins, generally thought to operate by causing genetic mutations, ie. changes in DNA. We will ask whether environmental variables can also cause heritable changes in expression of key genes (oncogenes or tumour suppressor genes) by altering histone modifications, providing an epigenetic route to cancer initiation or progression.. As model systems to study the induction of histone modifications and their heritability, we will use mouse embryos grown in culture and mouse embryonic stem (ES) cells. We will focus on mechanisms by which genes on one X chromosome are heritably inactivated during differentiation of female ES cells. We will use X inactivation to explore the possible link between histone modifications catalyzed by polycomb group proteins and DNA methylation, often aberrant on numerous genes in cancer. To define patterns of histone modification across selected genes we will use chromatin immunoprecipitation (ChIP), assaying precipitated DNA either by Real Time Quantitative PCR for analysis of key genes or with DNA microarrays to provide genome-wide assay of levels of DNA methylation, histone modification and enzyme distribution during ES cell differentiation. Using a novel technique that allows ChIP data to be obtained from as few as 100 cells (CChIP), we are able to study epigenetic changes in primary cells. We will follow environmentally-induced changes in defined cell populations (eg Inner Cell Mass, trophectoderm) from the developing embryo and in small clusters of cells excised from tissue sections by laser capture. In collaborative work, we will use the latter approach us to look for epigenetic changes in cells of defined type, either cancerous or normal, from sections taken from colon cancers at different stages of development and from premalignant tissue.	Cancer Research UK	Programme Award	None	None
4	Professor Bryan Turner	University of Birmingham	None	None	2012-03-31	Histone modification and gene silencing in embryonic stem cells	None	Biotechnology and Biological Sciences Research Council	None	None	None
5	Professor Bryan Turner	University of Birmingham	Medical Sciences - Medicine	2004-11-01	2008-03-31	Epigenetics of heterochromatin formation and gene silencing in human embryonic stem cells	Human Embryonic Stem Cells (HESC) can be directed to progress down specific pathways of differentiation, and thereby generate cells committed to defined lineages. Such cells are potentially capable of repairing or replacing damaged tissue when transplanted into patients. As in all other living systems, the progression of HESC down pathways of differentiation is driven by changing patterns of gene expression. These genetic events are regulated by epigenetic mechanisms that switch defined genes on and off at particular stages, and also maintain the on and off states through successive cell generations. In higher eukaryotes, both switching and maintenance mechanisms are profoundly influenced by the packaging of DNA into the cell nucleus as chromatin. It is now clear that chromatin, and hence gene expression, can be altered in complex and subtle ways through the actions of an ever increasing number of enzymes, some of which modify the major DNA packaging proteins, and some of which modify DNA itself. An improved understanding of these fundamental epigenetic events is the central aim of the present proposal, and is an essential first step in fully exploiting the scientific and therapeutic potential of HESC. The project has four specific aims: (i) To establish and characterise new HESC lines using blastocysts from the Assisted Conception Unit at Birmingham Womens? Hospital NHS Trust. (ii) To determine the patterns of histone modification that mark specific genes (autosomal and X-linked) and chromosome domains in the cells of the Inner Cell Mass and how these modifications change in HESC, both before and after differentiation in culture. We will use antibody-based approaches pioneered in the Birmingham lab, primarily Indirect ImmunoFluorescence (IIF) microscopy of metaphase chromosomes and Chromatin ImmunoPrecipitation (ChIP). By comparing our results with data from the Human Genome project on the distribution of genes across chromosomes, we can build up a detailed picture of the epigenetic marks carried by particular genomic regions at different stages of development and differentiation. (iii) To elucidate the sequence of epigenetic events that specifies long-term transcriptional silencing of female X-linked genes and the maturation of constitutive heterochromatin during differentiation of HESC. This will be achieved using the same antibody-based approaches as ii. (iv) To identify enzymes responsible for histone modifications on Xi by studying their genomic localisation and by developing procedures, applicable to HESC, for their down-regulation by RNAi.	Medical Research Council	Research Grant	242640.0	GBP
6	Professor Bryan Turner	University of Birmingham	None	2012-06-01	2016-03-31	Exploring the metaphase epigenome in normal and leukaemic cells	Background By immunostaining of metaphase chromosome spreads from human lymphoblastoid cell lines, we have recently shown that histones carrying specific post-translational modifications vary widely in concentration from one chromosome region to another. This variation gives each chromosome a characteristic fluorescent banding pattern after immunostaining with the appropriate antibodies. The processes by which these bands are put in place are not understood. Some modifications are closely associated with genomic features such as gene and CpG island density, but the extent to which bands are determined by DNA sequence or non-genetic factors (eg. enzyme or metabolite levels) remains uncertain. Nor do we know in any detail how the banding patterns vary from one cell type to another. Aims A preliminary screen will compare immunofluorescent metaphase banding patterns in normal and leukaemic blood cells stimulated to grow in short term culture. The screen takes advantage of the large number of primary blood and bone marrow samples cultured in the West Midlands Regions Genetics Laboratory (WMRGL) for leukaemia diagnosis and monitoring. The initial focus will be on Acute Myeloid Leukaemia patients with known translocations and Chronic Myeloid Leukaemia, and will compare normal and leukaemic cells in the same spreads. Other leukaemias and cells from non-cancer patients will be added as the work progresses. In parallel, we will explore at high resolution the genome-wide changes in histone modification that occur as cultured human lymphoblastoid cells move into mitosis. This will provide a first indication of how the major cell cycle dependent redistribution of histone modifications suggested by our immunolabelling results, is manifest at the gene and sub-genic level. Methods Immunofluorescence microscopy of metaphase chromosome spreads using antibodies to modified histones will be carried out using procedures established in the Birmingham labs. Chromatin ImmunoPrecipitation (ChIP) linked to Next Generation sequencing (on the in-house SOLiD 4 sequencer) will be used to explore chromatin remodelling as cells enter mitosis. The enzymes involved will be identified using sh/si-RNA mediated knockdown. How the results of this research will be used If disruption of immunofluorescent banding patterns is detected in specific leukaemias, this will open the way to novel diagnostic and prognostic tests. Understanding the mechanisms by which immunofluorescent chromosome bands are put in place may provide insights into the processes that generate the chromosome abnormalities that characterize so many cancers.	Cancer Research UK	BSC - Project Award	None	None
7	Professor Peter Cook	University of Oxford	Sir William Dunn Sch of Pathology	2005-04-01	2010-09-30	Transcription factories: micro-architecture and specialization	Life-forms concentrate molecules in cells so those molecules can react together efficiently. This concentration is achieved by enclosing molecules in membranes (as in mitochondria) or through the formation of local clusters (as in the machinery for oxidative phosphorylation). Clustering plays an important role in transcription. For example, our previous work has shown that HeLa nuclei contain a large and dispersed pool of RNA polymerase II present at ~1 micromolar but a small fraction is found in clusters where the local concentration is ~1,000-fold higher; as a result, few ? if any ? mRNAs are made outside the clusters. Moreover, many other components involved in making mature messages are also found in the clusters, which we call transcription ?factories?. Our purpose here is characterize these active sites in detail. Using mammalian cells grown in tissue culture, we plan to: (i) establish the basic micro-architecture of factories using high-resolution light and electron microscopy, localizing in and around factories components of the various machineries that generate mature messages (including those involved in transcription, processing, checking the quality of the newly-made transcript, chromatin remodeling, and histone modification), (ii) examine how factories change as transcription increases or decreases (e.g., as embryonic stem cells differentiate), and (iii) analyze the protein content of factories and the degree to which they specialize using novel methods that enable us to determine which proteins are associated with nascent RNA. Ultimately, we hope to discover what leads to the incorporation of a gene into a factory so that it can be expressed. We believe this combination of approaches will enable us to uncover mechanisms that are difficult to detect using a purely reductionist approach. We also hope that a fuller understanding of these factories will eventually lead to improved treatments for many of the serious diseases (e.g., cancer, diabetes, heart disease) that can result from failures in transcriptional control.	Medical Research Council	Research Grant	1067203.0	GBP
8	Professor Alan Knox	University of Nottingham	None	2009-04-01	2012-03-31	Peroxisome Proliferator-Activated Receptor-gamma: a novel therapeutic target for asthma?	Scientific Abstract|This study will translate molecular pathophysiology studies from our group identifying peroxisome proliferator-activated receptor (PPAR) -gamma as a potential drug target in asthma. The key question is whether stimulation of PPAR-gamma receptors produce measurable biological airway and clinical responses in patients with asthma that would justify exploring PPAR-gamma stimluation as a novel therapeutic modality|DESIGN - Randomized, double blind, placebo controlled two parallel group clinical trial |SETTING - Nottingham University Hospitals NHS Trust|TARGET POPULATION - People aged 18-75 of either sex with a clinical diagnosis of asthma, FEV1 60 % predicted or higher and an increase in FEV1 of greater than 12 % following inhaled salbutamol 400mcg or PEF variability > 12 % during run-in taking 0 to 800 mcg inhaled beclometasone diproprionate or equivalent and as required short acting beta agonist. The exclusion criteria will be inability to produce a sputum sample on induction, current smoking, > 10 pack years smoking history, treatment with leukotriene antagonists, liver or cardiovascular disease, oral steroid treatment or exacerbation within 6 weeks, females who are pregnant, lactating or not using adequate contraception, any contra-indication to pioglitazone and lactose intolerance. |INTERVENTIONS BEING EVALUATED - Active intervention: 30 mg pioglitazone daily for 4 weeks, increasing to 45 mg pioglitazone daily for 8 weeks. Placebo intervention: placebo matching 30 mg pioglitazone daily for 4 weeks followed by placebo matching 45 mg pioglitazone daily for 8 weeks. Participants will be randomised to one or other intervention using a web-based randomisation system and allocation concealed by blinding of participants and investigators. |MEASUREMENT OF CLINICAL OUTCOMES AND DURATION OF FOLLOW-UP - Primary outcome: FEV1 at 12 weeks. Secondary outcomes: daily asthma symptoms, mean morning and evening PEF, Juniper Asthma Control Questionnaire and Asthma Quality of Life Questionnaire scores, exhaled nitric oxide level, bronchial hyper-responsiveness, induced sputum cell counts & analysis detailed below, BMI, glucose & adverse effects. Follow up will take place at 0, 4, 8, 12, & 16 weeks for data collection. |ADDITIONAL LABORATORY OUTCOMES - Our previous studies have suggested that the mechanism of action of PPAR-gamma agonists in vitro involves effects on gene transcription. Gene transcription is a complex process involving binding of transcription factors to their recognition sequences on gene promoters. Access to these recognition sequences requires DNA to unravel and this process is controlled by covalent modification of core histone molecules around which DNA is wrapped. |The most important covalent modification is acetylation of histone H4 which is regulated by two competing groups of enzymes, histone acetyl transferases (HATs) and histone deacetylases (HDACs). HATs increase transcription whereas HDACs reduce it. In our studies of eotaxin we found that acetylation of histone H4 was reduced by PPAR agonists but we have not determined whether this is due to a reduced HAT or increased HDAC activity. |To examine things further we will perform studies in cells obtained from induced sputum to analyse 1) HDAC and HAT activities by HDAC Fluorescent Activity Assay Kit (BIOMOL) and HAT Assay Kit (Upstate Biotechnology). We have shown from preliminary experiments that we can obtain enough cells from induced sputum for these assays. 2) PPAR-gamma activation (nuclear translocation) by western blotting. |This will be conducted on a subset of samples from each group to confirm the effect of pioglitazone. We will also perform studies in supernatant obtained from induced sputum to analyse 1) the concentration of chemokines (eotaxin, MCP-1, IP-10) and growth factors (VEGF) by ELISA; 2) effector mediators (cyst-leukotriens, eosinophil cationic protein (ECP) and histamine) by radio-immuno assay. |These analyses will be conducte	Medical Research Council	P&Cs	123931.0	GBP
9	Professor Martin Allday	Imperial College London	None	2008-07-01	2011-06-30	Epigenetic programming by Epstein-Barr virus: DNA methylomes and histone modification maps in latently infected B cells.	We recently showed, using recombinant Epstein-Barr viruses from which individual EBNA3s were deleted, that EBNA3A and EBNA3C functionally interact to repress the expression of the cellular gene BIM. Coincidentally we discovered that the BIM promoter exhibits CpG methylation in all the B cells carrying latent EBV that we examined. It appears that EBV can initiate epigenetic silencing and CpG methylation of BIM and perhaps other cellular genes. Our aim is to systematically investigate genome-wi de CpG methylation and histone modification patterns after infection of B cells (EBV-negative Burkitt s lymphoma and CD19+ve primary cells) with EBV. This should reveal cellular genes that are epigenetically modified by latent EBV gene products. Prototypic B95.8 EBV and the EBNA3-deletion viruses will be used, so the roles of these EBV repressors of transcription in modifying the B cell epigenome and gene expression patterns will be determined. In addition to using genome-wide tiled-arrays to an alyse approximately 25,500 promoters for DNA methylation and histone modifications (such as H3K9 methylation), the same viruses and cells will be used for standard microarray expression analyses. We will also assess the role of the EBNA3s in the epigenetic silencing of viral gene expression thought to be necessary for persistence in vivo.	Wellcome Trust	Project Grant	284612.0	GBP
