0	Dr Pettifer	The University of Manchester	None	None	None	Target practice: informatic and metabolomic assessment of biological network changes and of drug-cell interactions	There are many occasions where one may wish to know the site of interaction of an effector molecule with a complex biological system (i.e. network), typically by measuring changes in the accessible state variables. These are usually ill-conditioned problems, in the sense that many models can account for the observable data, and to make progress it is necessary to apply constraints and simplifications of various kinds. In contrast to cognate analyses of signalling and gene regulatory networks, the analysis of METABOLIC networks and their fluxes is attractive since they NECESSARILY possess stoichiometric and thermodynamic constraints, which are known, and measurement of the molecules they excrete as end products creates further constraints on the fluxes through the different parts of the network. Initially using baker's yeast as a model organism, we wish to demonstrate that this strategy does indeed work. The necessary simplifications include the use of mass action and lin-log kinetics, while we shall develop and exploit modern methods of multivariate statistical optimisation and machine learning for parameter estimation. These include multi-objective evolutionary algorithms, and the exploitation of probabilistic graphical methods and Gaussian process models. We shall initially develop and test these strategies in baker's yeast, Saccharomyces cerevisiae, since this is a well understood organism. However, our collaborative partner Unilever are extremely interested in Corynebacterium jeikeium, for which a genome sequence and network model exist, and using resources made available by them for this project we shall also exploit these methods in the analysis of metabolic fluxes in this organism. The deliverable will be a suite of novel methods with which to infer the site of action of any effector in a reasonably well understood metabolic network.	Biotechnology and Biological Sciences Research Council	Industrial (IPA)	1287697.0	GBP
1	Professor Douglas Kell	The University of Manchester	None	None	None	Target practice: informatic and metabolomic assessment of biological network changes and of drug-cell interactions	There are many occasions where one may wish to know the site of interaction of an effector molecule with a complex biological system (i.e. network), typically by measuring changes in the accessible state variables. These are usually ill-conditioned problems, in the sense that many models can account for the observable data, and to make progress it is necessary to apply constraints and simplifications of various kinds. In contrast to cognate analyses of signalling and gene regulatory networks, the analysis of METABOLIC networks and their fluxes is attractive since they NECESSARILY possess stoichiometric and thermodynamic constraints, which are known, and measurement of the molecules they excrete as end products creates further constraints on the fluxes through the different parts of the network. Initially using baker's yeast as a model organism, we wish to demonstrate that this strategy does indeed work. The necessary simplifications include the use of mass action and lin-log kinetics, while we shall develop and exploit modern methods of multivariate statistical optimisation and machine learning for parameter estimation. These include multi-objective evolutionary algorithms, and the exploitation of probabilistic graphical methods and Gaussian process models. We shall initially develop and test these strategies in baker's yeast, Saccharomyces cerevisiae, since this is a well understood organism. However, our collaborative partner Unilever are extremely interested in Corynebacterium jeikeium, for which a genome sequence and network model exist, and using resources made available by them for this project we shall also exploit these methods in the analysis of metabolic fluxes in this organism. The deliverable will be a suite of novel methods with which to infer the site of action of any effector in a reasonably well understood metabolic network.	Biotechnology and Biological Sciences Research Council	Industrial (IPA)	1287697.0	GBP
2	Professor Philip Bath	Nottingham,University of	Stroke Trials Unit, Division of Clinical Neuroscience	None	None	Assessment of modern machine learning methods and conventional statistical regression techniques in diagnosis and prediction of outcome after acute stroke using big data	Stroke is common, may be mimicked by other conditions, and often has a poor outcome. We will use high-fidelity big data from acute stroke trials (which will include those with stroke, TIA and mimics) involving up to 90,000 instances/patients with baseline clinical and imaging, on treatment, diagnostic and outcome information. We will assess the accuracy of state-of-the-art machine learning with artificial neural network (ANN) models, including deep neural networks (DNN), in the diagnosis of stroke versus mimics, and prediction of early complications (deterioration, stroke recurrence and re-bleeding) and late outcomes (functional outcome, cognition, mood, quality of life, disposition, death) after stroke. These will be compared with conventional statistical regression models (binary, Cox, ordinal and linear regression). Neither ANN/DNN nor statistical approaches are used routinely in stroke management in part because of poor accuracy and acceptability to clinicians. If diagnostic and prediction models are accurate and acceptable to patients and clinicians then their use could be rapidly introduced into clinical care to improve patient management, for example through the use of apps on phones/tablets/computers.	British Heart Foundation	Project Grant	145079.0	GBP
3	Professor Gordon Jayson	University of Manchester	None	2005-01-01	2008-06-30	The human serum metabolome in health and disease	Many arguments, including those based on metabolic Control Analysis (MCA), indicate that the metabolome should be a particularly high-resolution method for amplifying and thereby reflecting changes in the levels of gene products, especially those which accompany disease pathogenesis. A key imperative is therefore to develop and industrialise the technology optimal for determining the serum metabolome reliably, to establish the disease-independent ranges of the many hundreds of metabolites that can be observed with such technology, to recognise the disease-independent changes that occur `simply as a function of diet, gender, age, therapeutic interventions and lifestyle, and to make these data for `normals available in a web-accessible manner. Such data will form the reference baseline that will allow prognostic and diagnostic biomarkers for disease progression to be identified reliably; this will show the high- resolution discrimination possible with metabolomic data for both diagnosis and treatment. In parallel, we shall contribute to the development of (i) robust data models for metabolome data, and (ii) machine learning methods of classification in which the `gold standard diagnosis may be imperfectly reliable. The deliverables will be both underpinning knowledge of the human serum metabolome (probably including the discovery of many novel metabolites) and the identification of candidate biomarkers for two diseases.	Biotechnology and Biological Sciences Research Council	LINK project	168047.0	GBP
4	Professor Ariane Herrick	University of Manchester	None	2019-09-01	2022-08-05	Development of a measuring app for finger lesions as an outcome measure for systemic sclerosis-related digital ulceration (SALVE: Scleroderma App for Lesion VErification)’	Background. Digital (finger) ulcers are common in systemic sclerosis (SSc), occurring in approximately 50% of patients, and represent a huge unmet clinical need because they are painful, disabling, and disfiguring. Effective therapies are urgently required. Disappointingly, several recent clinical trials of promising new therapies have been 'negative' possibly (even probably) because of inadequacy of the primary outcome measure: clinician definition of digital ulcers/ulcer healing is notoriously unreliable. We believe that incorporating photographic assessment of digital 'lesions' is the way forward, building on successful pilot studies undertaken at the University of Manchester. Aims and purpose. We shall test the hypothesis that data collected daily using a smartphone app designed specifically for digital lesions will provide a reliable and objective outcome measure, sensitive to change, for use in clinical trials. Specific objectives include to: a.Develop a robust, device-agnostic protocol for patients to capture images of their own digital lesions using their own phones. b.Design/develop a smartphone app that guides patients through the image capture process, and 'adds in'/captures non-imaging data on other aspects of digital lesions. c.Develop automated methods to extract and analyse all available data from smartphone camera images of digital lesions to reliably track healing status. Brief experimental plan. Patient involvement in co-designing the app will be crucial to the success of the project, and will be ensured via a series of seven user group meetings between months 1 and 29. The three main stages (mapping into objectives) will be: 1. Development of a digital lesion imaging protocol, then testing this by inviting 25-30 patients with SSc-related finger lesions to collect short 1-2 second videos (which we shall refer to as 'images') at least daily over approximately 30 days (generating in the order of 1000 images in total). 2. Development of version 1 of the app, which in addition to images will also capture non-imaging patient reported outcome measures (PROMs) specific to digital lesions (assessing pain, impact on hand function, etc.). Once the app is developed, we shall invite 30 patients with SSc and current digital lesions to test this (with some overlap of patients from Stage 1). Analysis of the images collected will include lesion size, how this changes over time, and colour information to assess the lesion state (e.g. inflammation). We have the relevant expertise within our group to carry out all technical aspects of the work (medical image analysis, machine learning, optical physics). 3. Further development of the app (into version 2) to develop a tool that provides auto-analysis of finger lesion images and feedback to the patient. Patient user group input will be imperative here (i.e. what would patients be prepared to collect and what elements do they perceive as as most useful?). Relevance/potential patient benefit. By providing an objective outcome measure, the app will revitalise interest in clinical trials into SSc-related digital lesions, and thereby help to identify effective treatment(s) which will reduce pain and disability and improve quality of life. The app will also have potential as a monitoring tool in everyday practice.	Versus Arthritis	Full Application Treatment	216773.0	GBP
5	Professor Andrew Richard Collins	University of Southampton	None	2011-10-01	2014-09-30	Using machine learning methods to characterise the role of genetic factors in early onset breast cancer	Currently only about 30% of the genetic contribution to breast cancer risk has been identified. These risk factors comprise a small number of rare and moderate penetrance disease genes along with common variants identified through genome-wide association studies. Some of the 'missing heritability' is likely to remain within the phenotype: focus on 'simple' case and control disease phenotypes may be less powerful than testing for genes underlying disease sub-types. Furthermore, analytical methods have not adequately modelled interactions between genes, phenotypic variables and other factors. Finally, a proportion of genetic variation is likely to arise through rarer moderate penetrance genes that have not been tested for through association studies, but justify the effort towards sequencing. This studentship develops novel analyses in a large early onset breast cancer phenotype and genotype sample. Through collaborative supervision between the Southampton Schools of Medical and Mathematics, machine learning methods will be developed, evaluated and employed for the analyses, thereby avoiding the limitations of conventional parametric models. A particular focus will be the characterisation of the genetic basis of breast cancer sub-phenotypes (including for example, categories based on tumour grade, type and tumour biomarkers). Modelling the role of genetic variation using SNP genotype data to identify novel genetic variation underlying early onset disease is the basis of the studentship. An understanding of the role of this variation on breast cancer phenotypes is essential for the development of novel therapies in the future.	Breast Cancer Now	PhD	61400.0	GBP
6	Professor John Draper	Aberystwyth University	None	None	2014-09-30	Analysis of Magnaporthe grisea pathogenicity by insertion mutagenesis and hierarchical metabolomics	The project aims to utilise metabolomics approaches to identify metabolic processes associated with pathogenicity in the fungus Magnaporthe grisea, a major disease of a range of cereals and grasses. The genome sequence of the fungus has been determined and tools are available for generating targeted gene replacement mutants, studying gene expression using genome microarrays, and carrying out detailed cell biological studies of plant infection (for review see Talbot, 2003). M. grisea is being subjected to intensive functional genomics analysis, including large-scale insertion mutagenesis projects. To date, mutants affecting pathogenicity are almost without exception impaired in ability to form infection structures (appressoria) and penetrate host epidermal cells. However, in new mutant screens carried out at Exeter and elsewhere, several new classes of mutant are emerging where the timing of lesion formation and subsequent lesion expansion is impaired. We hypothesize that the corresponding genes may make important contributions to plant tissue colonization and disease symptom formation by M. grisea. Molecular genetic analysis of early-phase infection mutants in M. grisea have largely been carried out ex planta by germination of spores on inert plastic surfaces, providing large synchronous populations of infection structures for biochemical analysis. In parallel, we have developed an accurate sampling system for in planta infection sites based on microscopy and GFP-tagging of the pathogen, and by using such sampling approaches have shown that metabolomic fingerprinting and supervised data analysis can detect reproducible major changes in metabolome during lesion development. We will carry out detailed metabolome phenotyping of M. grisea in order to understand the precise roles of genes involved in the development of fungal infection structures using already available mutants. We will also refine and carry out a screen for mutants affected in the timing, rate of growth and sporulation of disease lesions. Mutants representative of different phenotypic classes will be inoculated onto hosts in controlled environments and lesion material collected at several time points. Metabolome analysis will follow a hierarchical procedure initiated with high-throughput, low-resolution ESI- MS fingerprinting (LTQ linear ion trap) and GC-tof-MS fingerprinting (LECO Pegasus II). Discrimination of appropriate sample combinations will be determined by supervised data analysis. If there is evidence for metabolome differences (e.g. comparing mutants with an isogenic wild type strain at the same stage of infection) then a further subset of the same samples will be subjected to ESI-FTMS fingerprinting to generate high resolution peak tables. Corresponding GC-tof-MS chromatograms will also be processed to deconvolute and annotate peaks for data mining. Explanatory metabolite signals between different sample classes will be determined using machine learning procedures. In ESI-MS data, high ranked m/z signals will be examined in chromatograms of further LC-FTMS analyses to predict the mass of possible parent ions which will be further fragmented to obtain MS(n) spectral data. Metabolite mass tables and spectral libraries will be searched for matches with spectra representing discriminatory peaks, and predicted metabolites will be quantified against standards using targeted GC-tof-MS or LC-MS as appropriate. Metabolome differences centred on specific metabolites in the various mutants will be used to determine areas of metabolism that may impact on fungal pathogenicity in future experiments. Parallel genetic analysis of insertional mutant collections of M. grisea will focus on those in which metabolome differences are apparent during plant tissue invasion. Gene isolation by inverse PCR, complementation and validation by targeted gene replacement experiments will be used to define genes associated with disease lesion formation by M. grisea.	Biotechnology and Biological Sciences Research Council	grant	203644.0	GBP
7	Professor John Draper	Aberystwyth University	None	None	2014-09-30	The Rothamsted Metabolomics Centre (MeT-RO)	Metabolomics is one of several technologies that will contribute to our quest to understand the function of all genes. MeT-RO will build and operate a high-throughput primary and secondary metabolite fingerprinting service for plants and microbes. We will develop and utilise a large- scale analytical chemistry facility generating NMR, GC, GC- MS, HPLC and LC-MS data at Rothamsted. Data will be managed in LIMS system at Rothamsted and transferred electronically to our partners at the University of Aberystwyth and UMIST and used to construct a metabolomics database from which comparative information will be extracted with chemometric, machine learning and other bioinformatic tools. MeT-RO and its partners will act as foci for research training in metabolomic technology while contributing data and interpretation tools towards systematic functional genomics, as well as to many other applications in the food, pharmaceutical and agrochemical industries. (Joint with MET20482 and MET20484)	Biotechnology and Biological Sciences Research Council	None	462262.0	GBP
8	Prof Roy Goodacre	The University of Manchester	None	None	2014-09-30	The human serum metabolome in health and disease	Many arguments, including those based on metabolic Control Analysis (MCA), indicate that the metabolome should be a particularly high-resolution method for amplifying and thereby reflecting changes in the levels of gene products, especially those which accompany disease pathogenesis. A key imperative is therefore to develop and industrialise the technology optimal for determining the serum metabolome reliably, to establish the disease-independent ranges of the many hundreds of metabolites that can be observed with such technology, to recognise the disease-independent changes that occur `simply as a function of diet, gender, age, therapeutic interventions and lifestyle, and to make these data for `normals available in a web-accessible manner. Such data will form the reference baseline that will allow prognostic and diagnostic biomarkers for disease progression to be identified reliably; this will show the high-resolution discrimination possible with metabolomic data for both diagnosis and treatment. In parallel, we shall contribute to the development of (i) robust data models for metabolome data, and (ii) machine learning methods of classification in which the `gold standard diagnosis may be imperfectly reliable. The deliverables will be both underpinning knowledge of the human serum metabolome (probably including the discovery of many novel metabolites) and the identification of candidate biomarkers for two diseases.	Biotechnology and Biological Sciences Research Council	grant	1083263.0	GBP
9	Professor Douglas Kell	The University of Manchester	None	None	2014-09-30	The human serum metabolome in health and disease	Many arguments, including those based on metabolic Control Analysis (MCA), indicate that the metabolome should be a particularly high-resolution method for amplifying and thereby reflecting changes in the levels of gene products, especially those which accompany disease pathogenesis. A key imperative is therefore to develop and industrialise the technology optimal for determining the serum metabolome reliably, to establish the disease-independent ranges of the many hundreds of metabolites that can be observed with such technology, to recognise the disease-independent changes that occur `simply as a function of diet, gender, age, therapeutic interventions and lifestyle, and to make these data for `normals available in a web-accessible manner. Such data will form the reference baseline that will allow prognostic and diagnostic biomarkers for disease progression to be identified reliably; this will show the high-resolution discrimination possible with metabolomic data for both diagnosis and treatment. In parallel, we shall contribute to the development of (i) robust data models for metabolome data, and (ii) machine learning methods of classification in which the `gold standard diagnosis may be imperfectly reliable. The deliverables will be both underpinning knowledge of the human serum metabolome (probably including the discovery of many novel metabolites) and the identification of candidate biomarkers for two diseases.	Biotechnology and Biological Sciences Research Council	grant	1083263.0	GBP
