0	Professor Stephen Brown	MRC Mammalian Genetics Unit	None	1997-10-01	2100-12-31	Disease Model Discovery	The aim of the Disease Model Discovery programme is to generate novel mouse models of disease providing a key resource for the elucidation and characterisation of new genes and pathways involved with diverse disease systems. The programme delivers a critical underpinning to our intramural research programmes at MRC Harwell, as well as furnishing a wider platform for gene and pathway discovery for the biomedical sciences community within the UK and abroad. Currently, large-scale mutagenesis and phenotyping platforms at MRC Harwell focus on the International Mouse Phenotyping Consortium (IMPC) pipeline for the generation and identification of mouse models. The IMPC mutagenesis and phenotyping pipeline is a key ongoing programme for the discovery of novel genes associated with both early-onset and late-onset disease phenotypes. However, there is an increasing focus on the delivery of late-onset phenotypes. Diseases associated with ageing pose an increasing social and financial burden on society and represent a vital imperative for research in the biomedical sciences. There have been considerable advances, for example through GWAS studies, in identifying putative loci and pathways involved in diseases of ageing. Nevertheless, our knowledge of the genes and pathways involved with late-onset disease is neither comprehensive nor complete. As part of MRC funding to Programme 1 over the next five years we plan to introduce over 100 genes into the IMPC pipeline encompassing both early-onset and late-onset phenotyping platforms. This effort will be supplemented by additional funding from the NIH which will enable us to feed a further ~200 genes into the IMPC pipeline for the determination of both early and late-onset phenotypes. Proposals for genes to enter late-onset phenotyping will be sought via the regular calls to the UK community for gene nominations as part of the wider IMPC effort at MRC Harwell. In line with the wider IMPC programme, all data is freely available and deposited in the IMPC database – see www.mousephenotype.org. For the future the bulk of null mutations that enter the IMPC pipeline will be generated by CRISPR/Cas9. In addition, with funding from Strategy Board, the MRC has established the new GEMM (Genome Editing Mice for Medicine) programme at MRC Harwell, utilising the CRISPR/Cas9 route to introduce additional types of alleles, such as point mutations, enabling for example investigators to introduce and analyse human point mutations. This programme underpins the high demand across the human and clinical genetics communities for access to models of rare and Mendelian disorders. Moreover, it is an important pillar in the Genomics England and Precision Medicine Initiative in the US. MRC Harwell has established a collaboration with Genomics England and it is expected that many of the mutants generated in the GEMM programme will be pivotal in the validation and analysis of loci identified through the 100,000 genomes project. In summary, Programme 1 at MGU Harwell is at the forefront of delivering mutants, disease models and data that are a critical pillar for functional genomics studies across the biomedical sciences spectrum and provide key resources for understanding the genetic bases for disease and an important tool for the development of novel therapeutic strategies.	Medical Research Council	Unit	None	None
1	Professor Iain McInnes	University of Glasgow	College of Medical, Veterinary, Life Sci	2017-09-29	2021-03-28	MICA: Immune-Mediated Inflammatory Disease Biobanks in the UK (IMIDBio-UK)	Immune-mediated inflammatory diseases (IMIDs) are phenotypically diverse, but share genetic & environmental susceptibility factors & common inflammatory mechanisms. Therapeutics of IMIDs have been revolutionised by specific biologic immune modifiers and immune receptor kinase inhibitors. Discrete responses emerging to given agents across IMIDs suggest the existence of both common and disease restricted pathways. Current immune therapies are prescribed without precision medicine principles. Incomplete response is not uncommon, depending on disease and drug and risk of serious toxicities remain problematic. Collectively these issues, combined with high costs have limited biologic use in the NHS, particularly in rarer IMIDs where disease aetiology and mechanism are not well understood. This is a key area of unmet need. We propose a systems approach to address these challenges that will rely heavily on the presence of large well characterized clinical biobanks informing across IMIDs. This will require significant new bridging infrastructures, including more robust biorepositories that link human tissue to phenotype and outcome. IMID-BIO-UK will address these challenges directly. We will unite several disease biobanks together to create a unique IMID tissue and data repository, unparalleled in scale and scope, to (1) examine disease specific and common endotype concepts across IMIDs beyond those facilitated by existing disease specific cohorts using advanced classification on multi-omic data, and by leveraging clinical cohort databases; (2) focus particularly on blood / tissue biopsy comparisons across IMIDs; (3) integrate multiomic data across tissue compartments including blood and understand the disease specific and common endotype inter-relationship across IMIDs; and (4) use such knowledge to enable rapid repositioning and stratification of therapeutics across IMIDs and enable access for POC studies.	Medical Research Council	Research Grant	1707541.0	GBP
2	Professor Christopher Haley	University of Edinburgh	None	2018-04-01	2023-03-31	Quantitative Traits in Health and Disease	This programme aims to deliver biological understanding of the genetic and environmental causes of variation in complex traits and diseases. To do this we will harness the special population structures in our population cohorts, together with the unparalleled capacity in Scotland to achieve extensive linkage to eHealth records, the creation of uniquely high dimensional phenotype datasets, and the effective multidisciplinary team. We will capitalise upon the special features of our study populations together with data from Generation Scotland, UK Biobank and collaborators to dissect trait genetic architecture and identify genetic variants associated with a broad range of quantitative traits of biomedical importance. We will develop and apply computational approaches to provide understanding of the genetic and environmental sources of biomedical trait variation together with their interactions. In order to exploit the “jackpot effect” of otherwise rare variants with increased frequencies in population isolates, we focus our research on Scottish (Orkney and Shetland) and Croatian (Vis and Korcula) cohorts, increasing both the size and power of our cohorts and the depth of their phenotyping. High kinship within our isolate populations facilitates imputation of variants into all genotyped individuals, with an increase in sample size enhancing detection power for both rare and common variants, using association and gene-based mapping methods. Biobanked samples (plasma, serum and urine) allow expansion of deep phenotyping (including proteomics, metabolomics, glycomics, urine traits), enabling more detailed exploration of the biology underlying associations. We will use these rich intermediate phenotype and other data to identify pathways from the genome and epigenome, through the proteome and metabolome, and to assess their impact on human health and disease using multivariate genome-wide association studies (GWAS), phenomics, two-sample Mendelian Randomisation and other integrative approaches. We also continue to functionally characterise a number of the associations, taking findings further along the translational pathway and illuminating mechanisms. The programme will contribute to our understanding of the relationships between genetic variation, gene function and health, integrates computational and experimental approaches and strengthens population cohorts towards development of precision medicine. This research programme will complement resources such as UK Biobank, which do not focus on related individuals and have limited molecular phenotyping, identifying low frequency variants and familial environmental contributions that are opaque to such studies, and leveraging the multi-omics data to suggest causality and mechanisms through, e.g. MR approaches. In the near future as long-read DNA sequencing becomes sufficiently affordable and many thousands of proteins can be assayed inexpensively, our resources will be ideal for exploring the role of novel genomic variation and further characterisation of the protein architecture of disease.	Medical Research Council	Unit	6948000.0	GBP
3	Prof Caroline Hayward	University of Edinburgh	None	2018-04-01	2023-03-31	Quantitative Traits in Health and Disease	This programme aims to deliver biological understanding of the genetic and environmental causes of variation in complex traits and diseases. To do this we will harness the special population structures in our population cohorts, together with the unparalleled capacity in Scotland to achieve extensive linkage to eHealth records, the creation of uniquely high dimensional phenotype datasets, and the effective multidisciplinary team. We will capitalise upon the special features of our study populations together with data from Generation Scotland, UK Biobank and collaborators to dissect trait genetic architecture and identify genetic variants associated with a broad range of quantitative traits of biomedical importance. We will develop and apply computational approaches to provide understanding of the genetic and environmental sources of biomedical trait variation together with their interactions. In order to exploit the “jackpot effect” of otherwise rare variants with increased frequencies in population isolates, we focus our research on Scottish (Orkney and Shetland) and Croatian (Vis and Korcula) cohorts, increasing both the size and power of our cohorts and the depth of their phenotyping. High kinship within our isolate populations facilitates imputation of variants into all genotyped individuals, with an increase in sample size enhancing detection power for both rare and common variants, using association and gene-based mapping methods. Biobanked samples (plasma, serum and urine) allow expansion of deep phenotyping (including proteomics, metabolomics, glycomics, urine traits), enabling more detailed exploration of the biology underlying associations. We will use these rich intermediate phenotype and other data to identify pathways from the genome and epigenome, through the proteome and metabolome, and to assess their impact on human health and disease using multivariate genome-wide association studies (GWAS), phenomics, two-sample Mendelian Randomisation and other integrative approaches. We also continue to functionally characterise a number of the associations, taking findings further along the translational pathway and illuminating mechanisms. The programme will contribute to our understanding of the relationships between genetic variation, gene function and health, integrates computational and experimental approaches and strengthens population cohorts towards development of precision medicine. This research programme will complement resources such as UK Biobank, which do not focus on related individuals and have limited molecular phenotyping, identifying low frequency variants and familial environmental contributions that are opaque to such studies, and leveraging the multi-omics data to suggest causality and mechanisms through, e.g. MR approaches. In the near future as long-read DNA sequencing becomes sufficiently affordable and many thousands of proteins can be assayed inexpensively, our resources will be ideal for exploring the role of novel genomic variation and further characterisation of the protein architecture of disease.	Medical Research Council	Unit	6948000.0	GBP
4	Professor Anthony Freemont	The University of Manchester	School of Biological Sciences	2015-10-01	2021-03-31	Manchester Molecular Pathology Innovation Centre (MMPathIC): bridging the gap between biomarker discovery and health and wealth	Our aim is to establish an infrastructure: promoting biomarker discovery; translation into molecular pathology tests; NHS dissemination; and commercialisation. -Discovery builds on existing strengths in "omics" technologies (notably £13M MRC Clinical Proteomics Centre [MRC-CPC], North West Genomic Medicine Centre [NW-GenMed]); University of Manchester's (UoM) Health Economics/Biostatistics, UoM TextMining (NaCTeM); Farr Institute safe haven for data analysis; and MIMIT (Manchester Integrating Medicine and Innovative Technology) -Translation exploits the molecular pathology expertise across Central Manchester Foundation Trust's (CMFT) extensive laboratories and UoM's Experimental Molecular Pathology. -Dissemination utilises interlinked NW networks of pathology laboratories, facilitated by Greater Manchester Academic Health Sciences Network (GM-AHSN) -Commercialisation will develop around the partners' intellectual property commercialisation agents (UMI3, Trustech); commercial partners; and through Innovate's UK Precision Medicine Catapult (IUK PM Catapult) All activities benefit from Manchester Academic Health Sciences Centre's (MAHSC) £3bn healthcare economy; UoM health economists; involvement of NICE and patient groups; local educational resource; and links with other nodes. Ultimately we will produce an infrastructure for developing biomarker-based molecular pathology tests for many diseases, but initially we concentrate on key inflammatory pathways for diagnosing, stratifying and assessing therapeutic response of patients within our 3 MRC Stratified Medicine Programmes (MRC-StratMedP: MATURA £5.7M, rheumatoid arthritis [RA]; MASTERPLANS £5.1M, lupus; PSORT £5M, psoriasis) A major MMPathIC activity is developing generic pipelines encompassing discovery and translation to GCLP standards. This we will pursue in intellectual partnership and shared complimentary resources with colleagues in CRUK's Major Cancer Centre to optimise time and cost effectiveness	Medical Research Council	Research Grant	2923764.0	GBP
5	Mr Nigel Jamieson	University of Glasgow	None	2015-12-01	2017-02-14	Using preoperative pancreatic endoscopic ultrasound to enable precision medicine for the management of pancreatic cancer	None	Pancreatic Cancer UK	Research Innovation Fund	75000.0	GBP
6	Professor Dame Nancy Rothwell	University of Manchester	None	2013-10-01	2017-09-30	Manchester Cancer Research Centre (Non Clinical Training Account)	Non-clinical training associated with a CRUK Centre: The Manchester Cancer Research Centre (MCRC) brings together world-class research into cancer biology, drug discovery and clinical trials. The Centre integrates basic, translational and clinical research efforts to ensure that new insights into cancer biology lead to improved patient care. Our work can be summarised under the following research areas: •Fundamental Research - Groups across the MCRC carry out laboratory-based basic research, which will lead to a better understanding of the processes that drive the initiation, development and progression of cancer in different tissues. •Precision Medicine and Experimental Therapeutics - MCRC researchers translate laboratory findings into new or improved treatments and test them in clinical trials - driving the development of precision medicine. •Specific Tumours - A diverse range of tumour types are studied by MCRC scientists, however, there is a particular focus on haematological malignancies, lung cancer, melanoma, paediatric oncology, prostate cancer and women’s cancers. •Imaging - MCRC scientists are undertaking research into imaging technologies to develop new ways of visualising cancer cells and monitoring how they respond to therapy. •Radiotherapy Related Research - Researchers at the MCRC are carrying out studies to develop, improve, optimise and evaluate radiotherapy and targeted treatments. http://www.mcrc.manchester.ac.uk/Our-Research	Cancer Research UK	SEB - Centre Awards	None	None
7	Professor Lucy Wedderburn	University College London	Institute of Child Health	2014-08-18	2019-06-30	MICA: Childhood Arthritis Response to Treatment consortium - partnership to define stratified medicine tools for childhood inflammatory arthritis	The primary goal of this partnership is to create the Childhood Arthritis Response to Treatment consortium (CHART), which aims to improve directly the clinical care of children with Juvenile idiopathic arthritis (JIA), by bringing together the major ongoing UK studies of JIA treatment response, and includes patients/families affected by JIA, as well as clinicians and researchers from across the UK, in order to develop a robust platform that will enable a stratified approach to treatment interventions in JIA. Predictors of response to medication to inform treatment stratification are much needed in JIA. Unopposed joint inflammation in non-responsive patients is associated with increased disability, and creates personal / economic burden for many years into adult life. Currently no validated biomarkers exist that can identify children who will fail to respond, or whose disease is resistant to either methotrexate or biologic agents. CHART will bring together existing large JIA cohort studies, key stakeholders (scientists, clinicians, patients and families), and their collaborative infrastructure and networks, to work together. The specific objectives of the CHART consortium, during this partnership are to: 1. Evaluate the clinical data and sample protocols in the currently available JIA cohort studies 2. Collate and align the data available within a common platform 3. Define and agree standardised 'core' clinical dataset, response outcome measures, sample protocols and IT for going forward 4. Expand and extend the existing cohorts by inclusion of cases from existing and new centres, using the agreed common standardised core data set and protocols The creation of the Consortium, generation of the large combined JIA dataset in a single platform, and agreement of harmonised data and sample collection protocols, will ensure that the Consortium is ideally placed to obtain future funding to achieve our longterm goals of stratified medicine for JIA.	Medical Research Council	Research Grant	400176.0	GBP
8	Dr Amanda Swain	Institute of Cancer Research	None	2019-03-18	2022-03-17	Preclinical genetic modelling of advanced prostate cancer in response to therapy	Advanced metastatic prostate cancer is a major therapeutic challenge and is frequently lethal. Precision medicine therapies that target specific pathways are being developed, such as the anti androgens, abiraterone and enzalutamide, and PARP inhibitors, which affect tumours with BRCA1/2 mutations. Few clinically relevant models exist of advanced prostate cancer, particularly for tumours that have undergone targeted therapies. To understand the functional effect of genetic aberrations found in advanced disease on cancer progression, therapy response and mechanisms of resistance we aim to develop a series of genetically modified models for rapid analysis. We will use 3D mouse prostate organoids to generate multiple genetic changes that are specific to advanced prostate cancer using lentiviral constructs and CRISPR/CAS9 technology. Our objectives are: - To develop a work flow to perform genetic modifications found in advance prostate cancer in mouse prostate organoids. - To study the effect of genetic modifications on tumour progression and drug response in 3D cultures, including combination therapies. - To implant genetic 3D models into mice for in vivo phenotypic validation and to assess the effect of drug therapies including immunotherapies. The focus of the project will be on aberrations in genes associated with DNA repair and their sensitivity and resistance to platinum based drugs and PARP inhibitors. This pathway has been linked to advanced prostate cancer and ongoing PARP inhibitor clinical trials show response in some patients. We will model these tumours by generating prostate organoids with clinically relevant mutations in DNA repair genes. Our goal is to identify which aberrations drive tumour progression and respond to PARP inhibitors and to study mechanisms of resistance and identify therapies to overcome them. The ultimate aim is to generate information that will aid patient selection for targeted treatments and help develop more effective therapies involving this pathway.	Prostate Cancer UK	Project Grant	474465.0	GBP
9	Professor Joanna Wardlaw	Edinburgh, University of	Neuroimaging Sciences	None	2022-03-17	The BHF-Turing Cardiovascular Data Science Awards (Second Call): Uncovering retinal microvascular predictors of compromised brain haemodynamics in small vessel disease (joint funding with The Alan Turing Institute)	Cerebral small vessel disease (SVD) is a common neurological disease which causes up to 45% of dementias and about 20% of all strokes worldwide. The cause of the underlying pathology is poorly understood and there is no proven treatment. A limitation in human SVD research is that current MRI brain imaging technology has millimetre resolution while the vessels where SVD start are microscopic. However, retinal and cerebral microvasculature are developmentally related, and the former can be fully resolved in routinely acquired optical coherence tomography angiography (OCTA) retinal imaging. In this project, we will use Data Science to deeply phenotype retinal images in two ongoing clinical SVD studies. First, we will develop convolutional neural network approaches for OCTA image segmentation and Graph Theory approaches for structural phenotyping. Second, we will use computational fluid dynamics and high performance computing to carry out haemodynamic characterisation of the retinal vascular networks beyond what is observable clinically. Finally, we will uncover associations between structural and functional retinal phenotypes and SVD-related compromised brain haemodynamics. We expect this work to be an important step towards delivering Precision Medicine for SVD.	British Heart Foundation	Special Project	66000.0	GBP
